id	source	version_scope	load_bearing_use	access_limit
U1	CURRENT_SCIENTIFIC_PREMISES.tsv	349 rows at baseline508eb238; exact G261/G313/G358 rows	authority and inherited limits	no grade changes
U2	udt_g261_universal_metric_coupling_parent_operator_ownership_2026-08-25/EXACT_DERIVATION.md	W4 WORKING/POSIT	one-metric ideal freefall/clock/ruler coupling	not device law; historical missing dynamics gate superseded by G312/G313
U3	udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/EXACT_DERIVATION.md	accepted bounded G312 equation	Ric=Lambda g; connected-constant Lambda; homothety	owner-provisional arena; not populated Earth model
U4	udt_shared_readout_metric_constraint_campaign_2026-09-06/step_03/CANDIDATE_ARGUMENT.md	unchanged reviewed source banked as G358	Q slot convention; E; trace; five missed mixed components	ideal eventwise algebraic query; no device/PDE reconstruction
E1	https://esamultimedia.esa.int/docs/GOCE_Level1bProduct_User_Handbook.pdf	GOCE-GSEG-EOPG-TN-06-0137 issue1 revision1 02Oct2006; printed18-23	engineering precedent and sign inconsistency eq4 versus eq5	prelaunch not 2018 processing; SHA2563309a979c7ed9af79a0841ad83c17f04ac91ea373dfd2ec7c022bd7127ed0196
E2	https://earth.esa.int/eogateway/documents/20142/37627/GOCE-gradiometer-calibration-and-level-1b-data-processing.pdf	ESA EWP-2384 Christian Siemes; cover21Nov2011 headers06Jan2012; §§3.1-3.2,5,6.1-6.2,8.1	ideal accelerometer convention and version-specific calibration assumptions	NOT 2018 release eligibility; SHA256d6326134e8f55bf8a4449961c48a817f1b18b05107a5940b2fe3fb0d8c78ad69
E3	https://link.springer.com/article/10.1007/s00190-019-01271-9	Siemes et al2019 abstract/method summary only; DOI10.1007/s00190-019-01271-9	2018 reprocessing calibration uses star tracker, GRACE model and common-mode/shaking inputs	full method paywalled; no residual or performance outcome used
E4	https://www.esa.int/Applications/Observing_the_Earth/FutureEO/GOCE/Data_products	official overview accessed07Sep2026	Level1b versus Level2 distinction	not versioned transfer/calibration guarantee
E5	https://earth.esa.int/documents/10174/85857/GOCE-Level-1-Gravity-Gradient-Processing-Algorithms.pdf	ESA-EOPSM-GOCE-TN-3397 issue1 revision0 per E3 bibliography	attempted 2018 algorithm identification	web403; ordinary curl redirected to HTML, not PDF; not read or relied on
E6	https://repository.tudelft.nl/record/uuid:e7701ecb-4458-4098-8739-6528e738b755	institutional bibliographic record for E3	legitimate alternate access checked	abstract only; no full method obtained
