gate_id	gate	pass_requirement
G01	NATIVE_DEFINITION	unique_definition_entailed_by_registered_UDT_structure
G02	COMPLETE_CONFIGURATION_DOMAIN	all_fields_slice_observers_boundary_glue_moduli_gauge_topology_typed
G03	ONTOLOGY_BRANCH_CONTROL	both_metric_ontology_branches_covered_or_one_natively_excluded
G04	GLOBAL_OBJECT_STATUS	actual_global_scalar_vector_or_well_typed_set_not_local_name_only
G05	OFF_SHELL_DIFFERENTIABILITY	complete_covector_or_explicit_stratified_set_valued_rule
G06	BULK_TRACE_RESPONSE	bulk_trace_variation_defined_where_applicable
G07	TRACEFREE_ANGULAR_RESPONSE	local_tracefree_angular_variation_defined_where_applicable
G08	BOUNDARY_CORNER_GLOBAL_RESPONSE	moving_boundary_corner_glue_and_modulus_variations_completed
G09	UNITS_AND_ANCHORS	units_fixed_without_promoting_observed_anchors_to_functional_selectors
G10	FUNCTIONAL_INDEPENDENCE	no_inequivalent_same_premise_counterfamily
G11	REALIZED_CONFIGURATION_ARROW	complete_O_equals_R_of_X_map_derived
G12	LOCAL_ADMISSIBILITY_ARROW	complete_A_of_X_O_equals_zero_map_derived
