variation_id	object	fixed_domain_bulk	boundary_or_global	tracefree_angular	status
V01	spacetime_four_volume	delta V4=1/2 int_M sqrt(|g|) g^ab H_ab	+ int_boundary sqrt(|gamma|) chi_n	zero_for_pure_tracefree_H	EXACT_CONDITIONAL_DOMAIN
V02	spatial_proper_volume	delta V3=1/2 int_Sigma sqrt(h) h^ij H_ij	+ int_boundary sqrt(gamma) chi_n	zero_for_pure_tracefree_H	EXACT_CONDITIONAL_SLICE
V03	nonnull_boundary_induced_measure	delta A_k=1/2 int_Bk sqrt(|gamma_k|) gamma^AB delta_gamma_AB	+ int_Bk sqrt(|gamma_k|) K chi_n; k=2_for_partial_Sigma_and_k=3_for_spacetime_seal; null_boundaries_separate	zero_for_induced_tracefree_delta_gamma	EXACT_CONDITIONAL_TYPED_EMBEDDING
V04	total_proper_density	delta rho=(delta M-rho delta V)/V	inherits_all_M_and_V_channels	delta_rho_TF=delta_M_TF/V_when_delta_V_TF=0	EXACT_QUOTIENT_RULE_NATIVE_M_ABSENT
V05	integrated_spatial_scalar_curvature	int sqrt(h)(1/2 R h^ij-Ric^ij)H_ij	int_boundary sqrt(gamma)n^i(nabla^j H_ij-nabla_i trH)	orthonormal_Ricci_frame_H=diag(1,-1,0)_gives_-r1+r2	EXACT_COMPARISON_FUNCTIONAL_UNSELECTED
V06	constant_conformal_representative	V4->Omega^4 V4; V3->Omega^3 V3; A2->Omega^2 A2; A3->Omega^3 A3; I_R3->Omega I_R3	physical_values_change_until_representative_selected	not_a_tracefree_variation	EXACT_ONTOLOGY_FORK_CONTROL
V07	abelian_torus_connection_fixed_path_line_integral	delta integral_gamma S=integral_gamma delta S_for_fixed_path	closed_loop_exponentiation_lattice_period_global_lift_moving_path_and_monodromy_not_supplied	through_delta_S_only_after_metric_to_S_map	EXACT_FIXED_PATH_ABELIAN_ONLY__NOT_LC_HOLONOMY
V08	angular_character_norm_systole_and_argmin	delta q_w=-w^T H^-1(delta H)H^-1 w; delta ell_w=delta q_w/(2 ell_w)	physical_length_needs_common_scale_and_periods; monodromy_and_toric_completion_required	at_tie_directional_derivative_of_min_q_is_min_active_slopes; Clarke_subdifferential_is_convex_hull; W_min_is_set_valued_jump	EXACT_STRATIFIED_OBJECTS_DISTINGUISHED
V09	observer_pair_supremum_Xmax	first_variation_only_if_supremum_is_attained_by_unique_stable_pair_with_unique_regular_controlling_geodesic	nonattainment_has_no_maximizer_derivative; cut_loci_or_multiple_maximizers_give_nonsmooth_set_valued_response	path_dependent_when_conditionally_defined	TYPE_ONLY_Dg_AND_ATTAINMENT_OPEN
V10	topology_labels	delta Q=0_within_a_fixed_smooth_topological_component	jumps_only_through_boundary_escape_singularity_or_sector_change	not_an_infinitesimal_coordinate	DISCRETE_GLOBAL_DATA
