contract_id	forbidden_promotion_or_failure	required_result
F01	Missing_duplicate_or_generated_observable_candidate	REJECT
F02	Missing_duplicate_or_generated_principle_or_gate	REJECT
F03	Familiar_external_formula_called_native_definition	REJECT
F04	Observed_c_E_or_G_obs_called_functional_selector	REJECT
F05	Local_tensor_or_component_called_global_observable_without_domain	REJECT
F06	Proper_volume_called_physical_across_unresolved_ontology_fork	REJECT
F07	Density_called_defined_without_same_solution_native_mass_and_volume	REJECT
F08	Carrier_energy_or_mass_called_unconditional_native_matter	REJECT
F09	Interior_bulk_variation_called_complete_without_boundary_corner_global_terms	REJECT
F10	Trace_only_volume_response_called_tracefree_angular_response	REJECT
F11	Path_holonomy_called_scalar_without_loop_basepoint_and_conjugacy_rule	REJECT
F12	Systole_tie_or_diameter_cut_locus_called_everywhere_differentiable	REJECT
F13	Discrete_topology_label_used_as_infinitesimal_response_coordinate	REJECT
F14	Cartan_component_graph_called_frame_independent_physical_response	REJECT
F15	On_shell_window_root_or_fixed_point_called_off_shell_closure_section	REJECT
F16	Closure_arrow_completed_by_target_weight_pairing_or_multiplier_not_selected_by_premises	REJECT
F17	Cross_branch_splicing_to_make_a_complete_observable_or_closure	REJECT
F18	One_curvature_or_boundary_functional_selected_from_an_unrestricted_counterfamily	REJECT
F19	Lambda_CDM_density_used_as_UDT_source_target_or_fit	REJECT
F20	Density_sweep_action_reconstruction_carrier_adoption_PDE_or_GPU_launched	REJECT
F21	Frozen_preregistration_or_source_identity_drift	REJECT
F22	Navigation_CANON_frozen_evidence_or_unrelated_path_changed	REJECT
