catch_id	result	detected_by
F01_missing_observable	PASS_REJECTED	candidate_universe;candidate_coverage
F02_missing_principle	PASS_REJECTED	principle_universe
F03_external_formula_native	PASS_REJECTED	external_formula_called_native
F04_anchor_selector	PASS_REJECTED	observed_anchor_promoted
F05_local_called_global	PASS_REJECTED	local_called_global
F06_volume_ontology	PASS_REJECTED	volume_ontology_promoted
F07_density_without_mass	PASS_REJECTED	density_without_native_mass
F08_carrier_unconditional	PASS_REJECTED	conditional_carrier_promoted
F09_boundary_omitted	PASS_REJECTED	curvature_functional_promoted
F10_volume_TF_invented	PASS_REJECTED	volume_tracefree_response_invented
F11_holonomy_protocol	PASS_REJECTED	holonomy_protocol_omitted
F12_systole_or_diameter_smooth	PASS_REJECTED	systole_tie_smoothed;diameter_called_smooth
F13_topology_covector	PASS_REJECTED	topology_called_covector
F14_Cartan_physical	PASS_REJECTED	local_called_global
F15_onshell_closure	PASS_REJECTED	onshell_score_promoted
F16_closure_arrow_invented	PASS_REJECTED	closure_arrow_invented
F17_cross_branch_splice	PASS_REJECTED	volume_ontology_promoted
F18_curvature_selected	PASS_REJECTED	curvature_family_selected
F19_density_imported	PASS_REJECTED	density_used
F20_density_sweep	PASS_REJECTED	density_used
F21_source_drift	PASS_REJECTED	source_manifest_drift
F22_complete_false_positive	PASS_REJECTED	closure_arrow_invented;complete_vector_false_positive;complete_closure_false_positive
