principle_id	definition_capacity	selects_target	selects_normalization	selects_dual_pairing	completes_boundary_global	derives_R_or_A_arrow	ruling
P01	metric_local_objects_and_conditional_measures	NO	NO	NO	NO	NO	SUPPLIES_GEOMETRIC_PRIMITIVES_NOT_CLOSURE
P02	equivariance_constraint	NO	NO	NO	NO	NO	CONSTRAINS_COVARIANCE_WITHOUT_SELECTING_FUNCTIONAL
P03	domain_and_completion_types	NO	NO	NO	NO	NO	SUPPLIES_CELL_TYPE_NOT_BOUNDARY_OR_COMPLETION_RULE
P04	static_phi_parity_and_value	NO	NO	NO	NO	NO	SCOPED_STATIC_SCALAR_SEAL_DATA_ONLY
P05	working_two_arrow_architecture	NO	NO	NO	NO	NO	NAMES_SELF_CONSISTENCY_BUT_NOT_MAPS_TARGETS_OR_DERIVATIVE
P06	on_shell_admissibility_window	NO	NO	NO	NO	NO	WINDOW_IS_NOT_OFFSHELL_OBSERVABLE_OR_SECTION
P07	unit_calibration	NO	NO	NO	NO	NO	OBSERVED_c_E_IS_NOT_FUNCTIONAL_SELECTOR
P08	unit_calibration	NO	NO	NO	NO	NO	OBSERVED_G_obs_IS_NOT_MASS_OR_DENSITY_LAW
P09	challenged_ontology_constraint	NO	NO	NO	NO	NO	CANNOT_CLOSE_FORK_WHILE_CHALLENGED_OPEN
P10	local_nonlinear_geometric_wiring	NO	NO	NO	NO	NO	CARTAN_BIANCHI_IDENTITIES_DO_NOT_SUPPLY_PHYSICAL_RESPONSE
P11	conditional_energy_topology_example	CONDITIONAL_BRANCH_ONLY	CONDITIONAL_BRANCH_ONLY	CONDITIONAL_BRANCH_ONLY	INCOMPLETE_PHYSICAL_BOUNDARY	CONDITIONAL_BRANCH_ONLY	POSIT_SUPPLIES_REAL_BRANCHWISE_RESPONSE_BUT_NOT_UNCONDITIONAL_CLOSURE
P12	conditional_response_examples	CONDITIONAL_BRANCH_ONLY	CONDITIONAL_BRANCH_ONLY	CONDITIONAL_BRANCH_ONLY	INCOMPLETE_BOUNDARY_GLOBAL	CONDITIONAL_BRANCH_ONLY	ACTIONS_SUPPLY_REAL_VARIATIONS_ON_SUPPLIED_BRANCHES_BUT_ARE_NOT_SELECTED_BY_FOUNDATION
