premise_id	object	status	use	not_supplied
L01	reciprocal_metric_and_phi	DERIVED_SCOPED	metric_primitives	complete_physical_branch
L02	observer_frame_Reciprocity	PINNED_BY_THEORY	equivariance_test	functional_target_or_weights
L03	finite_cell	PINNED_BY_THEORY	domain_types	boundary_functional_or_completion
L04	static_scalar_seal	PINNED_SCOPED	parity_and_value_test	moving_boundary_response
L05	calibrated_metric_primary	OPEN_ONTOLOGY_BRANCH	proper_measure_candidate	branch_selection
L06	conformal_class_primary	OPEN_ONTOLOGY_BRANCH	representative_dependence	physical_section
L07	strong_local_CSN	CHALLENGED_OPEN	cannot_close_ontology_fork	selection_theorem
L08	c_E	OBSERVED_ANCHOR	time_length_calibration	closure_functional
L09	G_obs	OBSERVED_ANCHOR	mass_length_time_calibration	mass_source_or_density_law
L10	native_mass	OPEN_NOT_INPUT	candidate census	functional_and_variation
L11	native_energy	OPEN_NOT_INPUT	candidate census	functional_and_variation
L12	native_matter_carrier	OPEN_POSIT_ONLY_IN_CONDITIONAL_BRANCH	comparison	unconditional_emergence
L13	boundary_corner_gluing_functional	OPEN_NOT_INPUT	complete_variation_gate	charges_and_polarization
L14	complete_global_metric_profile	OPEN_NOT_INPUT	domain gate	on_shell_branch
L15	bootstrap_mutual_tuning	OWNER_STATED_WORKING	two_arrow_architecture	maps_targets_pairing_and_regularization
L16	density_window	OWNER_STATED_WORKING_ON_SHELL	admissibility candidate	off_shell_response
L17	Lambda_CDM_density_center	IMPORTED_COMPARISON_ANCHOR_DEFERRED	future_bracket_only	present_input_or_UDT_derivation
L18	action_and_dual_pairing	OPEN_NOT_INPUT	stop boundary	response_or_observable_selection
L19	GPU_time_live_PDE	OUT_OF_SCOPE	zero_runs	native_operator_and_boundary_problem
