source_id	path	role	size_bytes	sha256
S01	udt_bootstrap_to_local_response_map_audit_2026-07-25/AUDIT_REPORT.md	controlling_two_arrow_architecture_and_next_census	8275	38b697ee11a2873b8ff8bd9ba4f9940d98a70c2053a6e4440d4b925c491fa92e
S02	udt_bootstrap_to_local_response_map_audit_2026-07-25/EXACT_DERIVATION.md	density_volume_boundary_curvature_and_counterfamily_algebra	9425	c677aeb41e74d8d91978d661cd68db428d497a4bdf91c7a5ef78938c2e361fd4
S03	udt_post_july_offshell_response_availability_audit_2026-07-25/AUDIT_REPORT.md	frozen_response_family_availability_and_partial_interfaces	6905	81335d549129849c7b6f0da50c25b1c93f0f45fce3ce6a2f4b4d724f4d0cf2dd
S04	matter_bootstrap_dimensional_inventory_2026-07-20/AUDIT_REPORT.md	mass_energy_density_scale_inventory	6791	521f6b1e80ea7d7cd1a3993fe4873f4b8dc5e4eee7f586924a5813bad78ac966
S05	udt_pre_density_substrate_response_atlas_2026-07-24/AUDIT_REPORT.md	metric_angular_lattice_connection_and_response_objects	8983	8f3a3947ce8421b53c95285266421f45df354c2bb5a6f96c6c5d6129e89f7d5a
S06	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	completion_holonomy_topology_and_global_domain	14055	7a596530a78a75aec03bac6f35db31ebe534e0115ca51dda64acffd0c781844a
S07	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	twelve_completion_universe	2608	73d9f21e31d74c174dc173e03ddd27f8689c376170959d8419004f225bed73e6
S08	udt_free_global_seal_transversality_audit_2026-07-21/AUDIT_REPORT.md	moving_boundary_and_missing_functional	10302	51c756fff55876b65d342dd075b6f215c20ad9af4b1767ccb20efdae1a9cc5a1
S09	udt_xmax_observer_separation_audit_2026-07-24/AUDIT_REPORT.md	observer_pair_diameter_schema_and_missing_separation	3613	0e7d4f0b8a9e70a2f45fac494ce737fa4d0deaf4824940953377fa39f345c3ee
S10	udt_two_observer_separation_selector_audit_2026-07-24/AUDIT_REPORT.md	conditional_intrinsic_separation_and_causal_scope	4418	d4179f8849554af98c559bc3806f87b7a4eb088641a0b0994e8043d43d0b6dcc
S11	udt_dual_systole_global_transport_audit_2026-07-24/AUDIT_REPORT.md	continuous_systole_transport_and_wall_crossing	5188	a60dbce9e8908436b5038001be015c6a8b9d019cb74256cf63091f3f92f54582
S12	udt_dual_systole_wall_crossing_selector_audit_2026-07-24/AUDIT_REPORT.md	set_valued_tie_and_nonselector	6238	af46acd9d3a400861155762ee2ae4a7b1166b41ebf6a6810e5069ca50dc6a97a
S13	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	conditional_carrier_topology_and_static_energy_scope	10290	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea
S14	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	global_local_dependency_architecture	8153	61c0f3301d3b9f1105611efc23d81a8c58cb96f855745757dafaba29c8aba0cd
S15	udt_nonlinear_cartan_bianchi_ensemble_atlas_2026-07-26/AUDIT_REPORT.md	nonlinear_local_geometric_response_and_no_physical_response_law	3412	152e3a15962d4d4e329160a7b73927efeeaa4afa8f0c65fe5f14f5dc8f8e7145
S16	udt_nonlinear_cartan_bianchi_ensemble_atlas_2026-07-26/CURVATURE_CONTRACTIONS.tsv	exact_scalar_curvature_and_Ricci_data	1085	f316491dbd6b6ec0b526e38a4f299bf25fa519191f25054293efbecd998e5c8d
S17	udt_metric_orchestra_rehearsal_2026-07-25/AUDIT_REPORT.md	complete_coframe_metric_outputs_and_partial_R_geom	7353	9fea07d993242404c21d2c6b50ae65b9bf9aa29cc92d5440d8767c81941ee1fa
S18	udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	observer_pair_clock_and_path_protocol_limits	4804	a7ae3805927d7d8efe1a2daabfd07c0612c0f52375b60e727a6d0d0fabe66c87
S19	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	current_provenance_and_status_constraints	64408	fb2f2e17f6d4ec7d3b263afdcbbd810ac0d4b6f5cbe56b75cb2d3da2397c6a1c
