candidate_id	object_family	exact_definition_or_absence	classification	operator_provenance	source_basis
N01	observed_c_E_and_G_obs	c_E and G_obs calibrate units; they do not define a state functional or closure map	OBSERVED_ANCHORS_NOT_STATE_OBSERVABLE	OBSERVATION_ONLY	matter_bootstrap_dimensional_inventory_2026-07-20/AUDIT_REPORT.md:47-69
N02	spacetime_four_volume	V4=int_M sqrt(|g|); physical value depends on region, completion, and metric representative	DERIVED_CONDITIONAL_METRIC_MEASURE	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_bootstrap_to_local_response_map_audit_2026-07-25/EXACT_DERIVATION.md
N03	spatial_proper_volume	V3=int_Sigma sqrt(h); slice, boundary, completion, and representative remain inputs	DERIVED_CONDITIONAL_METRIC_MEASURE	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_bootstrap_to_local_response_map_audit_2026-07-25/AUDIT_REPORT.md:70-101
N04	boundary_induced_measure	A_k=int_Bk sqrt(|gamma_k|); k=2 for spatial boundary and k=3 for nonnull spacetime seal; null/type-changing boundaries need separate formalism	DERIVED_CONDITIONAL_BOUNDARY_MEASURE	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_free_global_seal_transversality_audit_2026-07-21/AUDIT_REPORT.md:68-85
N05	native_total_mass	No unconditional native total-mass functional exists in the registered post-firewall record	OPEN_NATIVE_MATTER_OBJECT	ABSENT	matter_bootstrap_dimensional_inventory_2026-07-20/AUDIT_REPORT.md:130-141
N06	total_proper_density_M_over_V	rho=M/V and delta rho=(delta M-rho delta V)/V are exact only after same-solution native M and V	CONDITIONAL_DENSITY_QUOTIENT_NOT_NATIVE_OBSERVABLE	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_bootstrap_to_local_response_map_audit_2026-07-25/AUDIT_REPORT.md:70-103
N07	native_total_energy	No unconditional native total-energy functional exists in the registered post-firewall record	OPEN_NATIVE_MATTER_OBJECT	ABSENT	udt_bootstrap_to_local_response_map_audit_2026-07-25/AUDIT_REPORT.md:61-66
N08	local_Riemann_Ricci_Weyl_Cartan_data	Riemann, Ricci, Weyl, and Cartan data follow locally from a supplied metric/coframe and connection	DERIVED_LOCAL_GEOMETRIC_OBJECT	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_nonlinear_cartan_bianchi_ensemble_atlas_2026-07-26/AUDIT_REPORT.md:11-38
N09	local_scalar_curvature	Scalar curvature is local and representative-dependent; a local scalar is not a global state coordinate	DERIVED_LOCAL_GEOMETRIC_OBJECT	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_nonlinear_cartan_bianchi_ensemble_atlas_2026-07-26/CURVATURE_CONTRACTIONS.tsv
N10	integrated_spatial_scalar_curvature	I_R=int_Sigma sqrt(h)R has exact bulk trace and trace-free response plus boundary flux but is not selected	DERIVED_VARIATION_OF_UNSELECTED_GLOBAL_FUNCTIONAL	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_bootstrap_to_local_response_map_audit_2026-07-25/AUDIT_REPORT.md:61-66
N11	quadratic_and_higher_curvature_functionals	Arbitrary curvature scalars and coefficients produce inequivalent same-premise functionals	UNSELECTED_GLOBAL_FUNCTIONAL_FAMILY	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_post_july_offshell_response_availability_audit_2026-07-25/AUDIT_REPORT.md
N12	curvature_operator_spectral_data	No frozen source audits a curvature operator, gauge/domain/boundary conditions, or spectral crossings	TYPE_ONLY_SOURCE_GAP	TYPE_ONLY_SOURCE_GAP	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md
N13	torus_connection_curvature_F	F=dS is exact on ordinary toric regions; global bundle descent and physical role remain open	DERIVED_LOCAL_CONNECTION_OBJECT	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_pre_density_substrate_response_atlas_2026-07-24/AUDIT_REPORT.md:215-236
N14	Levi_Civita_path_holonomy	Open-path LC transport is an endpoint map; based-loop holonomy is a group element and only conjugacy data remove frame choice	CONDITIONAL_LC_TRANSPORT_AND_HOLONOMY_TYPES	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md:104-116;168-180
N15	torus_bundle_holonomy_and_monodromy	Continuous torus-connection holonomy and discrete GL2Z monodromy have distinct variation types and require lift, loop, and completion data	CONDITIONAL_SPLIT_HOLONOMY_MONODROMY_OBJECT	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md
N16	angular_lattice_lengths_systoles_and_spectrum	q_w, ell_w, min q, and W_min are distinct; W_min is set-valued at ties and physical lengths need common scale and periods	DERIVED_STRATIFIED_ANGULAR_OBJECTS	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_dual_systole_global_transport_audit_2026-07-24/AUDIT_REPORT.md:11-39
N17	finite_cell_length_seal_position_and_continuous_moduli	Cell length, seal position, and moduli exist only relative to a chosen completion and equivalence rule	CONDITIONAL_CONFIGURATION_MODULUS	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv
N18	boundary_extrinsic_corner_and_joint_data	Extrinsic, corner, and joint data follow from supplied embeddings but do not select a boundary functional	CONDITIONAL_BOUNDARY_GEOMETRY	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_free_global_seal_transversality_audit_2026-07-21/AUDIT_REPORT.md:163-190
N19	observer_pair_separation_functional	h0 and q0 derive intrinsic level-set separation on complete everywhere-timelike nonzero-dphi branches; other causal classes and physical representative remain open	DERIVED_CONDITIONAL_TEMPORAL_PHI_SEPARATION_FAMILY__NOT_UNIVERSAL	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_two_observer_separation_selector_audit_2026-07-24/AUDIT_REPORT.md:55-94
N20	observer_pair_diameter_Xmax	Xmax=sup D_g is a working type; D_g, observer/event domain, completion, finiteness, and attainment are open	TYPE_ONLY_GLOBAL_SUPREMUM	WORKING_OWNER_TYPE_SCHEMA	udt_xmax_observer_separation_audit_2026-07-24/AUDIT_REPORT.md:11-49
N21	cap_gluing_orientation_and_topology_labels	Cap, gluing, orientation, and topology labels classify branches but are not infinitesimal response coordinates	DISCRETE_GLOBAL_LABEL	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv
N22	Hopf_Chern_winding_and_degree_labels	Hopf/Chern/winding/degree require an appropriate map/bundle and boundary class; carrier is not native	CONDITIONAL_TOPOLOGICAL_LABEL	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md:51-65
N23	supplied_carrier_energy_and_mass	Existing L2+L4 energy/mass and local response are conditional on carrier, action, coefficients, box, and readout	CONDITIONAL_CARRIER_FUNCTIONAL	CONDITIONAL_CARRIER_ACTION	matter_bootstrap_dimensional_inventory_2026-07-20/AUDIT_REPORT.md:94-107
N24	nonlinear_Cartan_six_family_component_data	Six-family Cartan network is exact representative-dependent geometric wiring, not a frame-independent physical response law	DERIVED_LOCAL_COMPONENT_ATLAS	UDT_METRIC_GEOMETRY_CONDITIONAL_ON_STATED_DOMAIN	udt_nonlinear_cartan_bianchi_ensemble_atlas_2026-07-26/AUDIT_REPORT.md:25-38
N25	WRL_SNe_profile_score_and_empirical_shape	WR-L/SNe score tests a supplied profile; it neither defines nor selects the native global state	OBSERVED_ON_SHELL_COMPARISON	OBSERVED_COMPARISON	udt_xmax_observer_separation_audit_2026-07-24/AUDIT_REPORT.md:31-36
N26	coupled_global_local_closure_residual	A(X,O)=0 and O-R[X]=0 are the correct coupled type; neither arrow, targets, normalization, or pairing is derived	TYPE_INCOMPLETE_CLOSURE	WORKING_TYPE_ONLY	udt_bootstrap_to_local_response_map_audit_2026-07-25/AUDIT_REPORT.md:5-31
