candidate_id	object_family	candidate_type
N01	observed_c_E_and_G_obs	OBSERVATIONAL_ANCHORS
N02	spacetime_four_volume	METRIC_MEASURE
N03	spatial_proper_volume	METRIC_MEASURE
N04	boundary_induced_measure	BOUNDARY_GEOMETRY
N05	native_total_mass	MATTER_GLOBAL
N06	total_proper_density_M_over_V	MATTER_GLOBAL
N07	native_total_energy	MATTER_GLOBAL
N08	local_Riemann_Ricci_Weyl_Cartan_data	LOCAL_CURVATURE
N09	local_scalar_curvature	LOCAL_CURVATURE_SCALAR
N10	integrated_spatial_scalar_curvature	GLOBAL_CURVATURE_FUNCTIONAL
N11	quadratic_and_higher_curvature_functionals	GLOBAL_CURVATURE_FAMILY
N12	curvature_operator_spectral_data	GLOBAL_SPECTRAL_FAMILY
N13	torus_connection_curvature_F	LOCAL_CONNECTION_CURVATURE
N14	Levi_Civita_path_holonomy	PATH_GLOBAL_GEOMETRY
N15	torus_bundle_holonomy_and_monodromy	PATH_AND_GLUE_GLOBAL_GEOMETRY
N16	angular_lattice_lengths_systoles_and_spectrum	ANGULAR_GLOBAL_GEOMETRY
N17	finite_cell_length_seal_position_and_continuous_moduli	GLOBAL_MODULI
N18	boundary_extrinsic_corner_and_joint_data	BOUNDARY_GLOBAL_GEOMETRY
N19	observer_pair_separation_functional	RELATIONAL_GLOBAL_GEOMETRY
N20	observer_pair_diameter_Xmax	RELATIONAL_GLOBAL_EXTREMUM
N21	cap_gluing_orientation_and_topology_labels	DISCRETE_GLOBAL_DATA
N22	Hopf_Chern_winding_and_degree_labels	TOPOLOGICAL_DATA
N23	supplied_carrier_energy_and_mass	CONDITIONAL_MATTER_FUNCTIONAL
N24	nonlinear_Cartan_six_family_component_data	LOCAL_GEOMETRIC_RESPONSE_DATA
N25	WRL_SNe_profile_score_and_empirical_shape	OBSERVED_ON_SHELL_COMPARISON
N26	coupled_global_local_closure_residual	CLOSURE_SECTION_TYPE
