source_id	path	role
S01	udt_bootstrap_to_local_response_map_audit_2026-07-25/AUDIT_REPORT.md	controlling_two_arrow_architecture_and_next_census
S02	udt_bootstrap_to_local_response_map_audit_2026-07-25/EXACT_DERIVATION.md	density_volume_boundary_curvature_and_counterfamily_algebra
S03	udt_post_july_offshell_response_availability_audit_2026-07-25/AUDIT_REPORT.md	frozen_response_family_availability_and_partial_interfaces
S04	matter_bootstrap_dimensional_inventory_2026-07-20/AUDIT_REPORT.md	mass_energy_density_scale_inventory
S05	udt_pre_density_substrate_response_atlas_2026-07-24/AUDIT_REPORT.md	metric_angular_lattice_connection_and_response_objects
S06	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	completion_holonomy_topology_and_global_domain
S07	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	twelve_completion_universe
S08	udt_free_global_seal_transversality_audit_2026-07-21/AUDIT_REPORT.md	moving_boundary_and_missing_functional
S09	udt_xmax_observer_separation_audit_2026-07-24/AUDIT_REPORT.md	observer_pair_diameter_schema_and_missing_separation
S10	udt_two_observer_separation_selector_audit_2026-07-24/AUDIT_REPORT.md	conditional_intrinsic_separation_and_causal_scope
S11	udt_dual_systole_global_transport_audit_2026-07-24/AUDIT_REPORT.md	continuous_systole_transport_and_wall_crossing
S12	udt_dual_systole_wall_crossing_selector_audit_2026-07-24/AUDIT_REPORT.md	set_valued_tie_and_nonselector
S13	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	conditional_carrier_topology_and_static_energy_scope
S14	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	global_local_dependency_architecture
S15	udt_nonlinear_cartan_bianchi_ensemble_atlas_2026-07-26/AUDIT_REPORT.md	nonlinear_local_geometric_response_and_no_physical_response_law
S16	udt_nonlinear_cartan_bianchi_ensemble_atlas_2026-07-26/CURVATURE_CONTRACTIONS.tsv	exact_scalar_curvature_and_Ricci_data
S17	udt_metric_orchestra_rehearsal_2026-07-25/AUDIT_REPORT.md	complete_coframe_metric_outputs_and_partial_R_geom
S18	udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	observer_pair_clock_and_path_protocol_limits
S19	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	current_provenance_and_status_constraints
