candidate_id	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	disposition	basis
N01	OBSERVED_ONLY	INCOMPLETE	NOT_A_STATE_ONTOLOGY	NOT_A_STATE_OBJECT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	PASS	FAIL_SELECTOR	ABSENT	ABSENT	OBSERVED_ANCHORS_NOT_STATE_OBSERVABLE	c_E and G_obs calibrate units; they do not define a state functional or closure map
N02	CONDITIONAL_REGION	CONDITIONAL_REGION	OPEN_ONTOLOGY	CONDITIONAL_GLOBAL	CONDITIONAL_FIXED_REGION	PASS	PASS	INCOMPLETE_MOVING_BOUNDARY	PASS	PASS	CONDITIONAL_PARTIAL_NOT_COMPLETE	ABSENT	DERIVED_CONDITIONAL_METRIC_MEASURE	V4=int_M sqrt(|g|); physical value depends on region, completion, and metric representative
N03	CONDITIONAL_SLICE	CONDITIONAL_SLICE_BOUNDARY	OPEN_ONTOLOGY	CONDITIONAL_GLOBAL	CONDITIONAL_FIXED_DOMAIN	PASS	PASS	INCOMPLETE_MOVING_BOUNDARY	PASS	PASS	CONDITIONAL_PARTIAL_NOT_COMPLETE	ABSENT	DERIVED_CONDITIONAL_METRIC_MEASURE	V3=int_Sigma sqrt(h); slice, boundary, completion, and representative remain inputs
N04	CONDITIONAL_TYPED_NONNULL_BOUNDARY	CONDITIONAL_EMBEDDING_AND_DIMENSION	OPEN_ONTOLOGY	CONDITIONAL_GLOBAL	CONDITIONAL_FIXED_EMBEDDING	PASS	PASS	INCOMPLETE_SHAPE_CORNER_NULL	PASS	PASS	CONDITIONAL_PARTIAL_NOT_COMPLETE	ABSENT	DERIVED_CONDITIONAL_BOUNDARY_MEASURE	A_k=int_Bk sqrt(|gamma_k|); k=2 for spatial boundary and k=3 for nonnull spacetime seal; null/type-changing boundaries need separate formalism
N05	ABSENT	ABSENT	OPEN_ONTOLOGY	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	DIMENSION_ONLY	ABSENT	ABSENT	ABSENT	OPEN_NATIVE_MATTER_OBJECT	No unconditional native total-mass functional exists in the registered post-firewall record
N06	CONDITIONAL_QUOTIENT	ABSENT_NATIVE_MASS	OPEN_ONTOLOGY	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL_ON_dM	INCOMPLETE	CONDITIONAL_ON_M_AND_V	FAIL_WITHOUT_M	CONDITIONAL_FORMULA_NATIVE_M_ABSENT	ABSENT	CONDITIONAL_DENSITY_QUOTIENT_NOT_NATIVE_OBSERVABLE	rho=M/V and delta rho=(delta M-rho delta V)/V are exact only after same-solution native M and V
N07	ABSENT	ABSENT	OPEN_ONTOLOGY	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	DIMENSION_ONLY	ABSENT	ABSENT	ABSENT	OPEN_NATIVE_MATTER_OBJECT	No unconditional native total-energy functional exists in the registered post-firewall record
N08	PASS	LOCAL_DOMAIN_ONLY	OPEN_ONTOLOGY	LOCAL_ONLY	LOCAL_LINEARIZATION	NOT_A_SELECTED_FUNCTIONAL_RESPONSE	NOT_A_SELECTED_FUNCTIONAL_RESPONSE	NOT_GLOBAL	PASS	PASS	CONDITIONAL_LOCAL_COMPONENT_NOT_GLOBAL	ABSENT	DERIVED_LOCAL_GEOMETRIC_OBJECT	Riemann, Ricci, Weyl, and Cartan data follow locally from a supplied metric/coframe and connection
N09	PASS	LOCAL_DOMAIN_ONLY	OPEN_ONTOLOGY	LOCAL_ONLY	LOCAL_LINEARIZATION	NOT_A_SELECTED_FUNCTIONAL_RESPONSE	NOT_A_SELECTED_FUNCTIONAL_RESPONSE	NOT_GLOBAL	PASS	PASS	CONDITIONAL_LOCAL_COMPONENT_NOT_GLOBAL	ABSENT	DERIVED_LOCAL_GEOMETRIC_OBJECT	Scalar curvature is local and representative-dependent; a local scalar is not a global state coordinate
N10	UNSELECTED_CANDIDATE	CONDITIONAL_SLICE_BOUNDARY	OPEN_ONTOLOGY	CONDITIONAL_GLOBAL	CONDITIONAL_FIXED_DOMAIN	PASS	PASS	INCOMPLETE_BOUNDARY_FLUX	PASS	FAIL_COUNTERFAMILY	CONDITIONAL_PARTIAL_NOT_COMPLETE	ABSENT	DERIVED_VARIATION_OF_UNSELECTED_GLOBAL_FUNCTIONAL	I_R=int_Sigma sqrt(h)R has exact bulk trace and trace-free response plus boundary flux but is not selected
