profile	r	component	direct	formula	absolute_error	scaled_error
P1	-0.3333333333333333	B_00	0.5340328942207102	0.5340328942207101	1.1102230246251565e-16	2.0789412724196592e-16
P1	-0.3333333333333333	B_01	0.0	-0.0	0.0	0.0
P1	-0.3333333333333333	B_02	0.0	-0.0	0.0	0.0
P1	-0.3333333333333333	B_03	0.0	-0.0	0.0	0.0
P1	-0.3333333333333333	B_10	0.0	-0.0	0.0	0.0
P1	-0.3333333333333333	B_11	0.16875798808309783	0.1687579880830978	2.7755575615628914e-17	1.6446969966222777e-16
P1	-0.3333333333333333	B_12	0.0	-0.0	0.0	0.0
P1	-0.3333333333333333	B_13	0.0	-0.0	0.0	0.0
P1	-0.3333333333333333	B_20	0.0	-0.0	0.0	0.0
P1	-0.3333333333333333	B_21	0.0	-0.0	0.0	0.0
P1	-0.3333333333333333	B_22	0.1261702256568151	0.12617022565681504	5.551115123125783e-17	4.3997029364320063e-16
P1	-0.3333333333333333	B_23	0.0	-0.0	0.0	0.0
P1	-0.3333333333333333	B_30	0.0	-0.0	0.0	0.0
P1	-0.3333333333333333	B_31	0.0	-0.0	0.0	0.0
P1	-0.3333333333333333	B_32	0.0	-0.0	0.0	0.0
P1	-0.3333333333333333	B_33	0.1261702256568151	0.12617022565681504	5.551115123125783e-17	4.3997029364320063e-16
P1	0.2	B_00	-0.7563462596762659	-0.7563462596762657	2.220446049250313e-16	2.935753328377292e-16
P1	0.2	B_01	0.0	0.0	0.0	0.0
P1	0.2	B_02	0.0	0.0	0.0	0.0
P1	0.2	B_03	0.0	0.0	0.0	0.0
P1	0.2	B_10	0.0	0.0	0.0	0.0
P1	0.2	B_11	0.13235095533863617	0.13235095533863614	2.7755575615628914e-17	2.0971194008092247e-16
P1	0.2	B_12	0.0	0.0	0.0	0.0
P1	0.2	B_13	0.0	0.0	0.0	0.0
P1	0.2	B_20	0.0	0.0	0.0	0.0
P1	0.2	B_21	0.0	0.0	0.0	0.0
P1	0.2	B_22	-0.49520537504314965	-0.49520537504314954	1.1102230246251565e-16	2.241944616470323e-16
P1	0.2	B_23	0.0	0.0	0.0	0.0
P1	0.2	B_30	0.0	0.0	0.0	0.0
P1	0.2	B_31	0.0	0.0	0.0	0.0
P1	0.2	B_32	0.0	0.0	0.0	0.0
P1	0.2	B_33	-0.49520537504314965	-0.49520537504314954	1.1102230246251565e-16	2.241944616470323e-16
P1	0.6666666666666666	B_00	-0.12700380247654353	-0.12700380247654344	8.326672684688674e-17	6.556238886018028e-16
P1	0.6666666666666666	B_01	0.0	0.0	0.0	0.0
P1	0.6666666666666666	B_02	0.0	0.0	0.0	0.0
P1	0.6666666666666666	B_03	0.0	0.0	0.0	0.0
P1	0.6666666666666666	B_10	0.0	0.0	0.0	0.0
P1	0.6666666666666666	B_11	0.03786582736722712	0.037865827367227045	7.632783294297951e-17	2.0157444918011026e-15
P1	0.6666666666666666	B_12	0.0	0.0	0.0	0.0
P1	0.6666666666666666	B_13	0.0	0.0	0.0	0.0
P1	0.6666666666666666	B_20	0.0	0.0	0.0	0.0
P1	0.6666666666666666	B_21	0.0	0.0	0.0	0.0
P1	0.6666666666666666	B_22	-0.11976481168946548	-0.11976481168946551	2.7755575615628914e-17	2.317506722057518e-16
P1	0.6666666666666666	B_23	0.0	0.0	0.0	0.0
P1	0.6666666666666666	B_30	0.0	0.0	0.0	0.0
P1	0.6666666666666666	B_31	0.0	0.0	0.0	0.0
P1	0.6666666666666666	B_32	0.0	0.0	0.0	0.0
P1	0.6666666666666666	B_33	-0.11976481168946548	-0.11976481168946551	2.7755575615628914e-17	2.317506722057518e-16
P2	-0.4	B_00	-0.010025820069807356	-0.010025820069807305	5.0306980803327406e-17	5.017742234854814e-15
P2	-0.4	B_01	0.0	-0.0	0.0	0.0
P2	-0.4	B_02	0.0	-0.0	0.0	0.0
P2	-0.4	B_03	0.0	-0.0	0.0	0.0
P2	-0.4	B_10	0.0	-0.0	0.0	0.0
P2	-0.4	B_11	0.11944882211347758	0.11944882211347767	8.326672684688674e-17	6.97091234334504e-16
P2	-0.4	B_12	0.0	-0.0	0.0	0.0
P2	-0.4	B_13	0.0	-0.0	0.0	0.0
P2	-0.4	B_20	0.0	-0.0	0.0	0.0
P2	-0.4	B_21	0.0	-0.0	0.0	0.0
P2	-0.4	B_22	-0.051185836098295384	-0.051185836098295405	2.0816681711721685e-17	4.0668832041242996e-16
P2	-0.4	B_23	0.0	-0.0	0.0	0.0
P2	-0.4	B_30	0.0	-0.0	0.0	0.0
P2	-0.4	B_31	0.0	-0.0	0.0	0.0
P2	-0.4	B_32	0.0	-0.0	0.0	0.0
P2	-0.4	B_33	-0.051185836098295384	-0.051185836098295405	2.0816681711721685e-17	4.0668832041242996e-16
P2	0.14285714285714285	B_00	-0.31221578635570996	-0.3122157863557102	2.220446049250313e-16	7.111895510371597e-16
P2	0.14285714285714285	B_01	0.0	0.0	0.0	0.0
P2	0.14285714285714285	B_02	0.0	0.0	0.0	0.0
P2	0.14285714285714285	B_03	0.0	0.0	0.0	0.0
P2	0.14285714285714285	B_10	0.0	0.0	0.0	0.0
P2	0.14285714285714285	B_11	0.10014440825084436	0.10014440825084435	1.3877787807814457e-17	1.3857776035835179e-16
P2	0.14285714285714285	B_12	0.0	0.0	0.0	0.0
P2	0.14285714285714285	B_13	0.0	0.0	0.0	0.0
P2	0.14285714285714285	B_20	0.0	0.0	0.0	0.0
