object	status	result	remaining_open
positive_round_S3_completion	DERIVED_CONDITIONAL_G305	bounded_domain_supplied	physical_history_selection
two_chiral_Hopf_families	DERIVED_MATHEMATICAL_G306	complete_metric_defined_candidate_arena	physical_member_population
metric_only_member_selection	DERIVED_NEGATIVE_G306	no_nonzero_isotropy_fixed_member	route_conditioned_reconstruction
supplied_point_and_ordered_unit_tangent	DERIVED_CONDITIONAL_G307	exactly_one_member_per_chirality	chirality
complete_one_dimensional_route_and_metric_carry	DERIVED_CONDITIONAL_G307	two_members_induce_same_route	transverse_sign
supplied_oriented_signed_transverse_screen_first_jet	DERIVED_CONDITIONAL_G307	exactly_one_member_reconstructed	physical_ownership_of_datum
lawful_query_route_screen_population	OPEN	no_active_premise_selects_population	selection_or_dynamical_bridge
metric_and_reciprocal_kernel	FIXED_UNCHANGED	no_formula_modified	none_from_G307
action_source_mass_scale_observation_Xmax	OMITTED	no_import_or_promotion	outside_scope
nonspherical_quotient_singular_topology_change	OPEN	unexamined	future_extension
