object	status	active_role	forbidden_promotion
positive_round_S3_completion	DERIVED_CONDITIONAL_G305	bounded_domain	selected_complete_UDT_history
two_Hopf_congruence_families	DERIVED_MATHEMATICAL_G306	candidate_member_arena	populated_physical_field
slice_orientation	SUPPLIED_BOTH_SIGNS_RETAINED	chirality_and_twist_sign_bookkeeping	metric_selected_parity
point_p	SUPPLIED_CONTROL	isotropy_ladder	physical_observer_population
ordered_unit_tangent_v	SUPPLIED_REGULAR_GERM	directed_route_reconstruction	lawful_populated_query
path_label_and_frame_carry	DERIVED_CONDITIONAL_AFTER_ROUTE_SUPPLY	one_dimensional_relation_data	physical_route_population
oriented_transverse_screen_first_jet	SUPPLIED_TEST_DATUM	chirality_discriminator	metric_owned_field_derivative
G300_celestial_control_fiber	DERIVED_CONDITIONAL	all_direction_control_arena	lawful_query_family
lawful_query_route_population	OPEN	ownership_boundary	silently_selected_input
metric_and_reciprocal_kernel	FIXED_UNCHANGED	upstream_theory	modified_by_classification
action_source_mass_scale_Xmax_observation	OMITTED	outside_scope	implicit_mechanism_or_anchor
nonspherical_quotient_singular_topology_change	OMITTED	outside_scope	universal_export
