id	failure_mode	present
A01	action EOM or residual filter	ABSENT
A02	sector ensemble label or orchestra interpretation	ABSENT
A03	physical phase transition claim	ABSENT
A04	particle GR cosmology or boundary merit target	ABSENT
A05	rank or class used as acceptance filter	ABSENT
A06	duplicate or uncertain record discarded	ABSENT
A07	time dependence called evolution	ABSENT
A08	metric-phi law inferred	ABSENT
A09	finite sample called probabilistic dense generic or exhaustive	ABSENT
A10	physical representative scale topology or carrier selected	ABSENT
