edge_id	direction_id	bank	point_id	from_configuration	to_configuration	from_radius	to_radius	delta_determinant	delta_scalar_curvature	delta_riemann_max_abs	ricci_rank_change	curvature_rank_change	shear_rank_change	twist_rank_change	from_geometry_class	to_geometry_class	from_dphi_class	to_dphi_class	diagnostic_tuple_changed	physical_transition_claimed
D00_B0_P0_E0	D00	B0	P0	O00_B0_P0	R00_0_B0_P0	0.0	0.125	0.0	-0.0051983941179341315	0.014898489263215992	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D00_B0_P0_E1	D00	B0	P0	R00_0_B0_P0	R00_1_B0_P0	0.125	0.25	0.0	-0.003603380919584828	0.018056540809164155	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B0_P0_E2	D00	B0	P0	R00_1_B0_P0	R00_2_B0_P0	0.25	0.5	0.0	-0.002421722244121823	0.047132214568902285	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B0_P0_E3	D00	B0	P0	R00_2_B0_P0	R00_3_B0_P0	0.5	0.75	0.0	0.003958330549275243	0.061309399065424444	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B0_P0_E4	D00	B0	P0	R00_3_B0_P0	R00_4_B0_P0	0.75	1.0	0.0	0.010338383342672421	0.07548658356194654	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B0_P4_E0	D00	B0	P4	O00_B0_P4	R00_0_B0_P4	0.0	0.125	-0.015010317151003205	-0.004359739995993726	0.014991830565476455	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D00_B0_P4_E1	D00	B0	P4	R00_0_B0_P4	R00_1_B0_P4	0.125	0.25	-0.015164397705912602	-0.001086252922179478	0.01915184334627769	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B0_P4_E2	D00	B0	P4	R00_1_B0_P4	R00_2_B0_P4	0.25	0.5	-0.03079737984516462	0.007657665021200608	0.05104039517307296	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B0_P4_E3	D00	B0	P4	R00_2_B0_P4	R00_3_B0_P4	0.5	0.75	-0.03143289372658087	0.020787519200303792	0.06845027273190345	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B0_P4_E4	D00	B0	P4	R00_3_B0_P4	R00_4_B0_P4	0.75	1.0	-0.03208152164222966	0.03395438903039324	0.08637298257324422	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B1_P1_E0	D00	B1	P1	O00_B1_P1	R00_0_B1_P1	0.0	0.125	-0.02463414978342815	-0.13448669725635487	0.023072075838247448	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D00_B1_P1_E1	D00	B1	P1	R00_0_B1_P1	R00_1_B1_P1	0.125	0.25	-0.02504914515432688	-0.1352279020040349	0.02085044539445839	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B1_P1_E2	D00	B1	P1	R00_1_B1_P1	R00_2_B1_P1	0.25	0.5	-0.05137135881650412	-0.2728535622304913	0.03511757120003465	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B1_P1_E3	D00	B1	P1	R00_2_B1_P1	R00_3_B1_P1	0.5	0.75	-0.0531167771775225	-0.2763463289753749	0.04178556332717298	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B1_P1_E4	D00	B1	P1	R00_3_B1_P1	R00_4_B1_P1	0.75	1.0	-0.05492149872469643	-0.2802006760037483	0.051008126440275525	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B1_P5_E0	D00	B1	P5	O00_B1_P5	R00_0_B1_P5	0.0	0.125	0.04742092106344131	-0.1327004839531668	0.023107265702374313	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D00_B1_P5_E1	D00	B1	P5	R00_0_B1_P5	R00_1_B1_P5	0.125	0.25	0.04588309199052776	-0.13009289293958148	0.02095830901383646	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B1_P5_E2	D00	B1	P5	R00_1_B1_P5	R00_2_B1_P5	0.25	0.5	0.08735056260056351	-0.2538189198840627	0.0355757649962135	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B1_P5_E3	D00	B1	P5	R00_2_B1_P5	R00_3_B1_P5	0.5	0.75	0.08177698404270606	-0.24767932903368495	0.035377305442677684	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B1_P5_E4	D00	B1	P5	R00_3_B1_P5	R00_4_B1_P5	0.75	1.0	0.07655903888909821	-0.244374887679639	0.0469818896353868	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B2_P2_E0	D00	B2	P2	O00_B2_P2	R00_0_B2_P2	0.0	0.125	-0.03441862721445621	-0.020040313345923492	0.03021914763840045	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
