configuration_id	design_id	design_kind	direction_id	radius	halton_index	bank	point_id	configuration_sha256	metric_jet_sha256	alpha_0	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	beta	determinant	inertia	identity_residual	latent_to_slot_rank	latent_rank_status	scalar_curvature	ricci_rank	ricci_rank_status	curvature_operator_rank	curvature_rank_status	riemann_max_abs	ricci_max_abs	weyl_max_abs	weyl_trace_residual	ricci_square	riemann_square	weyl_square	mixed_curvature_max_abs	time_derivative_activity	depth_derivative_activity	angular2_derivative_activity	angular3_derivative_activity	expansion_0	expansion_1	expansion_rank	shear_rank	twist_rank	twist_max_abs	shear_max_abs	phi	phi_gradient_norm	phi_gradient_max_abs	phi_horizontal_support	phi_vertical_support	phi_hessian_max_abs	dphi_class	geometry_class	numeric_uncertain	retained	physical_merit
O00_B0_P0	O00	ORIGIN	-	0	-	B0	P0	489183e5cd6a23268a2a97497bdd5da067a466d20c905212a89b8fa336377e14	1128763960173f2d5d5ff770393019f3d61ab005fe9a83d8135afc4b09880fc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.0	0	NUMERIC_CLASSIFIED	0	NUMERIC_CLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	-0.25	0.0	0.0	0.0	0.0	0.0	ZERO	R0_K0_S0_T0_M0	NO	YES	NOT_EVALUATED
O00_B0_P4	O00	ORIGIN	-	0	-	B0	P4	489183e5cd6a23268a2a97497bdd5da067a466d20c905212a89b8fa336377e14	1128763960173f2d5d5ff770393019f3d61ab005fe9a83d8135afc4b09880fc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.0	0	NUMERIC_CLASSIFIED	0	NUMERIC_CLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	-0.25	0.0	0.0	0.0	0.0	0.0	ZERO	R0_K0_S0_T0_M0	NO	YES	NOT_EVALUATED
O00_B1_P1	O00	ORIGIN	-	0	-	B1	P1	ed88600f67835aa4c7c72298400dc0870370ba474d6483e2001af5ad97b507d2	1128763960173f2d5d5ff770393019f3d61ab005fe9a83d8135afc4b09880fc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.0	0	NUMERIC_CLASSIFIED	0	NUMERIC_CLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ZERO	R0_K0_S0_T0_M0	NO	YES	NOT_EVALUATED
O00_B1_P5	O00	ORIGIN	-	0	-	B1	P5	ed88600f67835aa4c7c72298400dc0870370ba474d6483e2001af5ad97b507d2	1128763960173f2d5d5ff770393019f3d61ab005fe9a83d8135afc4b09880fc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.0	0	NUMERIC_CLASSIFIED	0	NUMERIC_CLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ZERO	R0_K0_S0_T0_M0	NO	YES	NOT_EVALUATED
O00_B2_P2	O00	ORIGIN	-	0	-	B2	P2	b6f985a9093a93ce62c6f81a1225a5cf9e8b23695e70c6f4051755885c6ddf1f	1128763960173f2d5d5ff770393019f3d61ab005fe9a83d8135afc4b09880fc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.0	0	NUMERIC_CLASSIFIED	0	NUMERIC_CLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	ZERO	R0_K0_S0_T0_M0	NO	YES	NOT_EVALUATED
O00_B2_P6	O00	ORIGIN	-	0	-	B2	P6	b6f985a9093a93ce62c6f81a1225a5cf9e8b23695e70c6f4051755885c6ddf1f	1128763960173f2d5d5ff770393019f3d61ab005fe9a83d8135afc4b09880fc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.0	0	NUMERIC_CLASSIFIED	0	NUMERIC_CLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	ZERO	R0_K0_S0_T0_M0	NO	YES	NOT_EVALUATED
O00_B3_P3	O00	ORIGIN	-	0	-	B3	P3	a92339cd53ae05abe4b199a362f8d143e65260e581a3ea37320f2bc5e86d1b8f	1128763960173f2d5d5ff770393019f3d61ab005fe9a83d8135afc4b09880fc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.0	0	NUMERIC_CLASSIFIED	0	NUMERIC_CLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	ZERO	R0_K0_S0_T0_M0	NO	YES	NOT_EVALUATED
O00_B3_P7	O00	ORIGIN	-	0	-	B3	P7	a92339cd53ae05abe4b199a362f8d143e65260e581a3ea37320f2bc5e86d1b8f	1128763960173f2d5d5ff770393019f3d61ab005fe9a83d8135afc4b09880fc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.0	0	NUMERIC_CLASSIFIED	0	NUMERIC_CLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	ZERO	R0_K0_S0_T0_M0	NO	YES	NOT_EVALUATED
R00_0_B0_P0	R00_0	RADIAL	D00	0.125	-	B0	P0	78289fc4b0c11b6b3c3ff58f508526808878ce74131f9533e2b658fb0d572ce2	853daaa66392eff73828545ce6056f11ff1d6291296f62e3385d2c5fa7d298ba	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.0051983941179341315	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.014898489263215992	0.0171061939448265	0.015168525366682865	6.071532165918825e-18	0.0006959446718866737	0.002778869658124948	0.0013959880814867218	0.014898489263215983	0.04400665766219289	0.028201846070917094	0.037078100217707646	0.042193909427836795	-0.03179166666666667	-0.029979166666666664	1	2	1	0.02279166666666667	0.022564203219489168	-0.25	0.00010138752487207358	0.014583333333333334	0.0125	0.014583333333333334	0.011111111111111112	SPACELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_0_B0_P4	R00_0	RADIAL	D00	0.125	-	B0	P4	5dee7c6035889230a5808c8f0f7cfc0f14820806ff2923cfc6cb72439e8bf9ab	d38f6d7d65c940711df08cb3fa1ef3dcfaa1fb431b8f5fd91ce9da080fb77874	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	-1.477294906585228	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.004359739995993726	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.014991830565476455	0.017331905201222034	0.015141787314567078	5.204170427930421e-18	0.0007251898318212895	0.002758731904653473	0.001314688018621785	0.014781547433418179	0.04632727243018945	0.02625181415739822	0.03527966269330933	0.04605335305899917	-0.030089319071018604	-0.032357277945017415	1	2	1	0.02866044702667878	0.020733335595911458	-0.24763939301286358	7.930512818139188e-05	0.01623126102292769	0.014382853835978836	0.01623126102292769	0.011111111111111112	SPACELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
