design_id	design_kind	direction_id	radius	halton_index	alpha_0	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	beta
O00	ORIGIN	-	0	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R00_0	RADIAL	D00	0.125	-	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125
R00_1	RADIAL	D00	0.25	-	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
R00_2	RADIAL	D00	0.5	-	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
R00_3	RADIAL	D00	0.75	-	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75
R00_4	RADIAL	D00	1.0	-	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
R01_0	RADIAL	D01	0.125	-	-0.125	0.125	0.125	0.125	0.125	-0.125	-0.125	0.125	-0.125	-0.125	0.125
R01_1	RADIAL	D01	0.25	-	-0.25	0.25	0.25	0.25	0.25	-0.25	-0.25	0.25	-0.25	-0.25	0.25
R01_2	RADIAL	D01	0.5	-	-0.5	0.5	0.5	0.5	0.5	-0.5	-0.5	0.5	-0.5	-0.5	0.5
R01_3	RADIAL	D01	0.75	-	-0.75	0.75	0.75	0.75	0.75	-0.75	-0.75	0.75	-0.75	-0.75	0.75
R01_4	RADIAL	D01	1.0	-	-1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	1.0	-1.0	-1.0	1.0
R02_0	RADIAL	D02	0.125	-	0.125	-0.125	0.125	0.125	0.125	-0.125	0.125	-0.125	-0.125	0.125	-0.125
R02_1	RADIAL	D02	0.25	-	0.25	-0.25	0.25	0.25	0.25	-0.25	0.25	-0.25	-0.25	0.25	-0.25
R02_2	RADIAL	D02	0.5	-	0.5	-0.5	0.5	0.5	0.5	-0.5	0.5	-0.5	-0.5	0.5	-0.5
R02_3	RADIAL	D02	0.75	-	0.75	-0.75	0.75	0.75	0.75	-0.75	0.75	-0.75	-0.75	0.75	-0.75
R02_4	RADIAL	D02	1.0	-	1.0	-1.0	1.0	1.0	1.0	-1.0	1.0	-1.0	-1.0	1.0	-1.0
R03_0	RADIAL	D03	0.125	-	-0.125	-0.125	0.125	0.125	0.125	0.125	-0.125	-0.125	0.125	-0.125	-0.125
R03_1	RADIAL	D03	0.25	-	-0.25	-0.25	0.25	0.25	0.25	0.25	-0.25	-0.25	0.25	-0.25	-0.25
R03_2	RADIAL	D03	0.5	-	-0.5	-0.5	0.5	0.5	0.5	0.5	-0.5	-0.5	0.5	-0.5	-0.5
R03_3	RADIAL	D03	0.75	-	-0.75	-0.75	0.75	0.75	0.75	0.75	-0.75	-0.75	0.75	-0.75	-0.75
R03_4	RADIAL	D03	1.0	-	-1.0	-1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	1.0	-1.0	-1.0
R04_0	RADIAL	D04	0.125	-	0.125	0.125	-0.125	0.125	0.125	0.125	-0.125	-0.125	-0.125	0.125	0.125
R04_1	RADIAL	D04	0.25	-	0.25	0.25	-0.25	0.25	0.25	0.25	-0.25	-0.25	-0.25	0.25	0.25
R04_2	RADIAL	D04	0.5	-	0.5	0.5	-0.5	0.5	0.5	0.5	-0.5	-0.5	-0.5	0.5	0.5
R04_3	RADIAL	D04	0.75	-	0.75	0.75	-0.75	0.75	0.75	0.75	-0.75	-0.75	-0.75	0.75	0.75
R04_4	RADIAL	D04	1.0	-	1.0	1.0	-1.0	1.0	1.0	1.0	-1.0	-1.0	-1.0	1.0	1.0
R05_0	RADIAL	D05	0.125	-	-0.125	0.125	-0.125	0.125	0.125	-0.125	0.125	-0.125	0.125	-0.125	0.125
R05_1	RADIAL	D05	0.25	-	-0.25	0.25	-0.25	0.25	0.25	-0.25	0.25	-0.25	0.25	-0.25	0.25
R05_2	RADIAL	D05	0.5	-	-0.5	0.5	-0.5	0.5	0.5	-0.5	0.5	-0.5	0.5	-0.5	0.5
R05_3	RADIAL	D05	0.75	-	-0.75	0.75	-0.75	0.75	0.75	-0.75	0.75	-0.75	0.75	-0.75	0.75
R05_4	RADIAL	D05	1.0	-	-1.0	1.0	-1.0	1.0	1.0	-1.0	1.0	-1.0	1.0	-1.0	1.0
R06_0	RADIAL	D06	0.125	-	0.125	-0.125	-0.125	0.125	0.125	-0.125	-0.125	0.125	0.125	0.125	-0.125
R06_1	RADIAL	D06	0.25	-	0.25	-0.25	-0.25	0.25	0.25	-0.25	-0.25	0.25	0.25	0.25	-0.25
R06_2	RADIAL	D06	0.5	-	0.5	-0.5	-0.5	0.5	0.5	-0.5	-0.5	0.5	0.5	0.5	-0.5
