selector_id	premise	level	ruling	reason
S01	RECIPROCAL_C_COEQUAL_CONVERSION	VALUE	VALUE_LEVEL_ONLY	RELATES_TIME_LENGTH_CONVERSION_DIRECTIONS_NOT_DPHI
S02	DUAL_CONTRAGREDIENT_RECIPROCITY	VALUE	VALUE_LEVEL_ONLY	FORCES_UV_EQUALS_ONE_FOR_COMPARISON_CHARACTER
S03	ADDITIVE_POSITIONAL_COMPOSITION	VALUE	VALUE_LEVEL_ONLY	FORCES_EXPONENTIAL_CHARACTER_AFTER_REGULARITY_NOT_FIELD_JETS
S04	REALIZED_NONTRIVIAL_DILATION	GLOBAL_OBSERVATION	OBSERVED_NONTRIVIALITY_ONLY	EXCLUDES_IDENTITY_AS_REALIZED_UNIVERSE_NOT_CRITICAL_POINTS
S05	TRIVIAL_PHI_ZERO_REPRESENTATION	VALUE	COMPATIBLE_BUT_NONSELECTING	MATHEMATICALLY_ALLOWED_AND_HAS_NO_DERIVATIVE_SPLIT
S06	COMMON_SCALE_NEUTRALITY	EQUIVALENCE	COMPATIBLE_BUT_NONSELECTING	PRESERVES_ZERO_NULL_NONNULL_STRATA_BUT_SELECTS_NONE
S07	STATIC_ODD_PHI_SEAL	BOUNDARY_VALUE	EXPLICITLY_LEAVES_DERIVATIVE_FREE	PHI_ZERO_AT_SEAL_WITH_FREE_NORMAL_DERIVATIVE
S08	FINITE_CELL_STRUCTURE	GLOBAL_DOMAIN	COMPATIBLE_BUT_NONSELECTING	SUPPLIES_DOMAIN_NOT_A_NONNULL_DPHI_EQUATION
S09	GLOBAL_BOOTSTRAP	GLOBAL_ADMISSIBILITY	ON_SHELL_ADMISSIBILITY_NO_OPERATION	NO_TYPED_OPERATION_EXISTENCE_TEST_OR_RANKING_RULE
S10	GRADIENT_SLOT_IDENTIFICATION	LOCAL_REALIZATION	CONDITIONAL_FUTURE_ROUTE	CURRENT_PACKET_LABELS_IDENTIFICATION_CONDITIONAL
S11	INTRINSIC_DPHI_TWO_FORM_REDUCTION	DERIVATIVE_GEOMETRY	CONDITIONAL_FUTURE_ROUTE	EXACT_ON_NONNULL_STRATA_BUT_PHYSICAL_OWNER_AND_GLOBAL_EXTENSION_OPEN
S12	NATIVE_ACTION_OR_EIKONAL_EQUATION	DYNAMICS	CONDITIONAL_FUTURE_ROUTE	COULD_EXCLUDE_CRITICAL_OR_NULL_STRATA_BUT IS CURRENTLY_OPEN
