catch_id	mutation	status
C01	remove_selector	CAUGHT
C02	duplicate_selector	CAUGHT
C03	promote_reciprocal_c_to_global_selector	CAUGHT
C04	promote_composition_to_jet_law	CAUGHT
C05	equate_observed_nontriviality_with_nowhere_critical	CAUGHT
C06	make_CSN_a_selector	CAUGHT
C07	fix_seal_derivative_nonzero	CAUGHT
C08	invent_bootstrap_operation	CAUGHT
C09	promote_gradient_slot	CAUGHT
C10	promote_physical_owner	CAUGHT
C11	remove_cubic_profile	CAUGHT
C12	make_cubic_derivative_nonzero	CAUGHT
C13	make_cubic_D_undefined	CAUGHT
C14	claim_cubic_complete_universe	CAUGHT
C15	erase_nonzero_dphi_missing_join	CAUGHT
C16	close_physical_ownership	CAUGHT
C17	derive_global_persistence	CAUGHT
C18	adopt_extra_persistence_premise	CAUGHT
C19	claim_physical_universe_solved	CAUGHT
C20	drop_source	CAUGHT
C21	change_maximum_ruling	CAUGHT
C22	claim_on_shell_counteruniverse	CAUGHT
C23	CSN_removes_zero_stratum	CAUGHT
