sha256	file
b8281460b0661c9a8a3d129eefc3ea2bdf7617ca55f2270acb366fe70836d10d	AGENTS.md
708e52f3bb97b2f70dcf43e31c4ee4e0d42ee466a7f86d3d720cfb3a1ea9fac1	LIVE.md
3f243e99bd1a6ccde29376c1e31bff739e946ea3251289651a9146b8cc60b50c	HANDOFF.md
c871d62c0f768706da914099dafbdcc62afc806454c59210f827a8d549aa3957	CURRENT_RESEARCH_PROGRAM.md
5259b543f6dc179e91f2760901ac6903534bba5e520152cc64f7fc1ce187e999	CURRENT_SCIENTIFIC_PREMISES.md
d48def69cbcf64c6115991b11fb8466e1f838dede8ced111293d6480e262004b	INDEX.md
3ac19868b3bf431e5b44d8f877cbcb089cf2e3b8bff6864c64a5cad168bdecb5	MEMORY.md
d5b684dcb5ff0b97a411274943261e54bb06c3c741d4502c145feb6c77d41868	root_README.md
43819d472fd76d873e26f2922e55d0ba4af6c8bb78fa12b2dadd1b4e00c4912e	research_README.md
1d409ee70bd45eb7839b8ea6d4c9a223367019536dfd7e5078125d800e4debe9	research_registry_README.md
ea0a37eab7d264d0ae32ad784b3850110fdab3a164af92e3a5342b066514c75b	INFLIGHT_STATE.md
d129e654e3a7833ffb38f5e21cc6206aecfa864c4c31257f5affd0b5825fe291	verify_current_scientific_premises.py
19c079a1bb448943b5456c644c9ae15bf178c158b239fa8aaef49a316ecc7326	test_startup_surface.py
