operation_id	operation	input_required	candidate_output	preregistered_question
E01	two_sided_coframe_descent	supplied_cover_transitions_and_local_coframes	global_bundle_configuration	does_cocycle_compatibility_exclude_interiors_beyond_well_definedness
E02	screen_metric_and_mixing_extension	supplied_smooth_rank_two_split	global_h_and_sigma_sections	do_contractible_extension_fibers_select_a_complete_interior
E03	single_global_coframe_existence	tangent_bundle_trivialization	global_frame	is_parallelizability_required_by_metric_UDT_or_only_a_strong_witness
E04	coordinate_integrable_coframe	closed_exact_coframe_one_forms	coordinate_frame	does_the_metric_require_dtheta_zero
E05	Levi_Civita_Cartan_reconstruction	nondegenerate_metric_or_coframe	unique_metric_compatible_torsion_free_connection	does_reconstruction_constrain_arbitrary_coframe_anholonomy
E06	Cartan_and_Bianchi_identities	connection_curvature_and_definitions	identities	do_identities_supply_a_nonidentity_physical_solution_set
E07	parallel_section_or_reduced_holonomy	supplied_connection_section_and_parallelism_requirement	fixed_or_holonomy_invariant_subspace	is_parallelism_derived_or_an_extra_restriction
E08	bulk_PDE_solvability	specified_bulk_operator_domain_and_boundary_or_initial_data	solution_set	can_solvability_be_defined_without_the_missing_native_response
E09	boundary_value_or_Fredholm_solvability	specified_bulk_operator_boundary_operator_and_function_spaces	compatibility_or_index_condition	can_boundary_solvability_be_defined_without_boundary_polarization
E10	rank_changing_stratified_extension	ambient_stratified_configuration_atlas	cross_stratum_extension_or_obstruction	is_the_fixed_rank_tile_complete_enough_for_a_global_return
