operation_id	operation	metric_native_status	nonidentity_if_imposed	parent_law_required	complete_interior_owner	physical_ruling
E01	two_sided_coframe_descent	DERIVED_KINEMATIC	NO	NO	NO	KINEMATIC_DESCENT_NONSELECTION
E02	screen_metric_and_mixing_extension	DERIVED_AFTER_SUPPLIED_SPLIT	NO	NO	NO	DERIVED_EXISTENCE_NONSELECTION
E03	single_global_coframe_existence	CONDITIONAL_STRONG_WITNESS	YES_ACROSS_TOPOLOGY_CLASSES	NO	NO	CONDITIONAL_STRONG_WITNESS_NOT_REQUIRED
E04	coordinate_integrable_coframe	NOT_FRAME_GAUGE_INVARIANT	YES	NO	NO	CONDITIONAL_EXTRA_INTEGRABILITY_NOT_FRAME_NATURAL
E05	Levi_Civita_Cartan_reconstruction	DERIVED_PER_NONDEGENERATE_REPRESENTATIVE	NO	NO	NO	DERIVED_RECONSTRUCTION_NONSELECTION
E06	Cartan_and_Bianchi_identities	DERIVED_IDENTITIES	NO	NO	NO	DERIVED_IDENTITY_NONSELECTION
E07	parallel_section_or_reduced_holonomy	CONDITIONAL_EXTRA_PREMISE	YES	NO	NO	CONDITIONAL_PARALLELISM_SELECTOR
E08	bulk_PDE_solvability	UNDEFINED_WITHOUT_OPERATOR	YES_AFTER_OPERATOR_SELECTED	YES	NO	CIRCULAR_PARENT_LAW_REQUIRED
E09	boundary_value_or_Fredholm_solvability	UNDEFINED_WITHOUT_BULK_AND_BOUNDARY_OPERATORS	YES_AFTER_OPERATORS_SELECTED	YES	NO	CIRCULAR_PARENT_BULK_AND_BOUNDARY_REQUIRED
E10	rank_changing_stratified_extension	OPEN_OUTSIDE_SMOOTH_FIXED_RANK_TILE	OPEN	NO	OPEN	OPEN_OUTSIDE_FIXED_RANK_TILE
