premise_id	premise	status	role_in_audit
P01	founded_phi_is_additive_log_depth_of_reciprocal_pair	DERIVED	fixed foundational direction
P02	reciprocal_pair_action_diag_exp_minus_phi_exp_plus_phi	DERIVED	fixed local reciprocal block
P03	complete_coframe_is_configuration_architecture	DEFINED_CONFIGURATION_ARCHITECTURE	audit domain not physical law
P04	global_local_mutual_admissibility	WORKING_POSIT	requires nonidentity relation but not formula
P05	completion_dependent_local_join_correspondence	DERIVED_PARTIAL_KINEMATIC	input partial relation
P06	observer_frame_naturality	DERIVED_GATE	future relation must be equivariant
P07	cover_and_refinement_independence	DERIVED_GATE	presentation cannot select physics
P08	smooth_fixed_rank_reciprocal_screen_split	CONDITIONAL_SUPPLIED_TILE	not promoted to universal domain
P09	positive_screen_metric_and_mixing_extension_fibers	DERIVED_CONTRACTIBLE_AFTER_SPLIT	full seven-direction extension retained
P10	global_complete_coframe	CONDITIONAL_STRONG_WITNESS	not required for metric or local-coframe gluing
P11	coordinate_integrable_coframe	NOT_FOUNDATIONAL	cannot be assumed
P12	torsion_free_metric_compatible_connection	MATHEMATICAL_RECONSTRUCTION_CONTROL_ONLY	not a native response selection
P13	parallel_reciprocal_or_screen_section	CONDITIONAL_EXTRA_PREMISE	not founded by Reciprocity
P14	bulk_response_action_source	OPEN	cannot be input to a claimed derivation of itself
P15	boundary_polarization_and_physical_completion	OPEN	boundary solvability cannot be completed
P16	rank_changing_and_stratified_extension	OPEN_OUTSIDE_SMOOTH_TILE	retained not rejected
P17	c_E_and_G_obs	OBSERVED_CALIBRATION_UNUSED	no selector role
P18	strong_local_CSN	INACTIVE	must not reactivate
P19	S2_carrier	POSIT_UNUSED	must not promote
P20	mass_energy_density_Xmax_dynamics	OPEN_UNUSED	must not promote
