premise_id	item	status	tag	use_in_audit
P01	founded_phi_identity	DERIVED_ADDITIVE_LOG_DEPTH	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G01	active_input
P02	founded_pair_action	DERIVED_DIAG_EXP_MINUS_PHI_EXP_PLUS_PHI	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G02	active_input
P03	seven_parameter_triangular_extension_class	DERIVED_CLASSIFICATION	pinned-by-THEORY:founded_phi_extension_E02	classification_arena_only
P04	physical_complete_extension	OPEN	free-and-explored	object_being_tested
P05	local_lorentz_physical_descent	OPEN	free-and-explored	mandatory_gate
P06	strong_local_CSN	CHALLENGED_NOT_DERIVED_INACTIVE	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G04	not_used
P07	c_E_and_G_obs	OBSERVED_ANCHORS	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G06	retained_but_no_numeric_value_used
P08	observer_event_path_variation_domain	OPEN	free-and-explored	separate_downstream_gate_not_filled
P09	completion_family	OPEN_UNSELECTED	free-and-explored:all_registered_families	no_completion_preferred
P10	screen_eigenline_orientation_or_ruler	OPEN_UNSELECTED	free-and-explored	cannot_be_hidden_input
P11	bootstrap	WORKING_ON_SHELL_ADMISSIBILITY_ONLY	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G12	not_used_as_selector
P12	Xmax	WORKING_GLOBAL_PAIR_SCHEMA	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G14	not_used_as_selector
P13	S2_carrier	POSIT	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G09	not_used
P14	action_source_boundary_mass	OPEN	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G16	not_used
P15	GR_or_standard_model_structure	COMPARISON_ONLY	pinned-by-THEORY:AGENTS_AND_CLAUDE	not_imported

