contract_id	mutation	result
F01	drop_candidate	PASS_REJECTED
F02	drop_matrix_cell	PASS_REJECTED
F03	false_selected_derived	PASS_REJECTED
F04	close_variation_domain	PASS_REJECTED
F05	promote_set_to_section	PASS_REJECTED
F06	erase_auxiliary_failure	PASS_REJECTED
F07	erase_tie_failure	PASS_REJECTED
F08	erase_type_change_failure	PASS_REJECTED
F09	erase_full_holonomy_failure	PASS_REJECTED
F10	erase_cross_branch_failure	PASS_REJECTED
F11	activate_inactive_strong_CSN	PASS_REJECTED
F12	promote_completion_candidate	PASS_REJECTED
F13	universal_no_go	PASS_REJECTED
F14	promote_downstream_variation	PASS_REJECTED
F15	independent_disagreement	PASS_REJECTED
F16	source_hash_drift	PASS_REJECTED
A01	bogus_agreed_outcome	PASS_REJECTED
A02	agreed_unrecognized_universal	PASS_REJECTED
A03	unrecognized_gate_status	PASS_REJECTED
A04	duplicate_manifest_path	PASS_REJECTED
A05	downstream_action_mass_overclaim	PASS_REJECTED
A06	candidate_family_mismatch	PASS_REJECTED
B01	arbitrary_PASS_prefixed_gate_status	PASS_REJECTED
B02	coordinated_agreed_bogus_outcome_swap	PASS_REJECTED
B03	normalized_duplicate_manifest_path	PASS_REJECTED
B04	coordinated_candidate_family_relabel	PASS_REJECTED
B05	arbitrary_unchecked_premise_status	PASS_REJECTED
B06	downstream_report_overclaim	PASS_REJECTED
C01	row_keyed_source_fact_reassignment	PASS_REJECTED
C02	broad_action_mass_global_section_overclaim	PASS_REJECTED
C03	pointwise_to_global_section_promotion	PASS_REJECTED
C04	independent_result_semantic_tamper	PASS_REJECTED
C05	coordinated_production_and_independent_matrix_mutation	PASS_REJECTED
