candidate_id	candidate_family	registered_input	putative_output	mandatory_stress_strata
C01	FOUNDED_PAIR_ALONE	founded_reciprocal_pair	complete_extension_section	generic;degenerate;global
C02	KILLING_LINE_OR_PLANE	metric_killing_algebra	preferred_extension_generator	generic;symmetry_enhanced;symmetry_broken;fixed_set
C03	NONNULL_DPHI_PROJECTOR	metric_and_founded_depth_gradient	longitudinal_transverse_split	timelike;spacelike;null;zero;type_change
C04	RICCI_SPECTRAL_STRUCTURE	ricci_endomorphism	preferred_eigenline_or_plane	general_simple_spectrum;repeated_spectrum;einstein;type_change
C05	WEYL_PRINCIPAL_STRUCTURE	weyl_operator	principal_plane_or_bivector	algebraically_general;repeated;conformally_flat;type_change
C06	RIEMANN_CURVATURE_OPERATOR	riemann_bivector_operator	preferred_two_plus_two_reduction	generic;degenerate;flat;nontrivial_holonomy
C07	ANGULAR_METRIC_SPECTRAL_DATA	complete_angular_metric	angular_axes_and_generator	simple_spectrum;round_tie;wall_crossing;monodromy
C08	RECIPROCAL_PROJECTOR_FAMILY	metric_and_founded_pair_projectors	complete_extension_section	nonnull;null;zero;causal_type_change
C09	DUAL_SYSTOLE_MODULE	angular_metric_and_integral_torus_lattice	primitive_character_section	unique_chamber;two_way_wall;three_way_vertex;monodromy
C10	HOLONOMY_FIXED_SUBSPACE	levi_civita_holonomy	parallel_extension_generator	trivial;reduced;full;loop_dependent
C11	FINITE_CELL_SEAL_ISOTROPY	finite_cell_seal_and_isotropy_data	boundary_selected_extension	external_edge;moving_phi_locked;mirror_quotient;regular_cap
C12	GLOBAL_COMPLETION_TRANSITION_DATA	completion_caps_quotients_and_cocycles	global_extension_section	all_registered_completion_families;nontrivial_transition

