gate_id	gate	gate_kind	pass_condition
G01	REGISTERED_SOURCE_AVAILABLE	SECTION	candidate_and_load_bearing_claim_have_frozen_registered_source
G02	METRIC_NATIVE_INPUT	SECTION	input_is_complete_metric_plus_typed_founded_pair_or_derived_invariant
G03	ACTIVE_UDT_AUTHORITY	SECTION	an_active_registered_premise_requires_this_selector_rule
G04	COMPLETE_EXTENSION_TARGET	SECTION	output_is_one_member_of_complete_extension_class
G05	LOCAL_LORENTZ_EQUIVARIANCE	SECTION	construction_descends_under_local_lorentz_change
G06	CHART_COFRAME_INDEPENDENCE	SECTION	output_is_independent_of_registered_chart_or_has_exact_transition
G07	NO_UNSELECTED_AUXILIARY	SECTION	no_ruler_screen_path_eigenline_orientation_boundary_cap_quotient_or_reset_is_chosen
G08	GENERIC_UNIQUENESS	SECTION	one_extension_member_is_selected_on_generic_stratum
G09	DEGENERACY_INTRINSICNESS	SECTION	ties_or_repeated_spectra_are_resolved_by_active_intrinsic_structure
G10	CAUSAL_TYPE_CHANGE	SECTION	null_zero_and_type_change_have_intrinsic_continuation_when_applicable
G11	HOLONOMY_DESCENT	SECTION	candidate_is_single_valued_under_registered_nontrivial_loop_transport
G12	OVERLAP_TRANSITION_SEMANTICS	SECTION	overlap_and_path_transition_law_is_explicit_and_functorial
G13	GLOBAL_COMPLETION_COMPATIBILITY	SECTION	candidate_descends_on_every_claimed_complete_finite_cell_branch
G14	FOUNDED_PAIR_PRESERVATION	SECTION	complete_action_restricts_to_diag_exp_minus_phi_exp_plus_phi
G15	NO_CROSS_BRANCH_SPLICE	SECTION	all_positive_gates_hold_on_one_and_the_same_registered_branch
G16	PHYSICAL_VARIATION_DOMAIN	SEPARATE_DOWNSTREAM	observer_event_path_and_allowed_variations_are_physically_typed

