order	object	status	depends_on
1	founded_reciprocal_pair	DERIVED	founding_postulates
2	complete_extension_class	DERIVED_CLASSIFICATION	founded_pair_and_registered_coframe_chart
3	metric_natural_section_selector	OPEN_NONE_SELECTED	complete_metric_and_active_UDT_authority
4	global_equivariant_extension_bundle	OPEN_NEXT_DERIVE_OR_FAIL	founded_pair_and_local_Lorentz_equivariance
5	transition_and_equivalence_law	OPEN	derived_bundle
6	admissible_sections	OPEN	derived_bundle_and_transition_law
7	physical_observer_event_path_variation_domain	OPEN	derived_admissible_sections_and_relational_semantics
8	offshell_global_local_response	OPEN	derived_variation_domain
9	action_source_boundary	OPEN	response_integrability_and_global_completion
10	matter_mass_bootstrap_prediction	OPEN	complete_same_solution_physics
