criterion	covered	dropped_or_open
FIELDS	bounded_pointwise_extension_classification_only	global_bundle_physical_section_and_native_variation_domain
ACTION_TERMS	no	complete_native_action
FULL_EQUATIONS	no	all_native_equations
DOMAIN_COORDINATES	generic_pointwise_plus_registered_global_controls	full_observer_event_path_domain
BOUNDARY_REGULARITY	registered_completion_constraints_only	selected_boundary_and_variation
TOPOLOGICAL_SECTOR	registered_holonomy_systole_completion_controls	physical_topology
DYNAMICAL_CHARACTER	no	time_live_or_stationary_solution_law
BRANCH_BIFURCATION	conditional_global_strata_compared	complete_on_shell_branch_space
STABILITY_SPECTRUM	no	all_stability
REGIME_OF_VALIDITY	12_candidate_16_gate_registered_universe	future_constructions_and_complete_UDT
