contract_id	condition	failure_if_violated
F01	exactly_12_candidate_rows	candidate_missing_or_duplicated
F02	every_candidate_has_all_16_gate_cells	incomplete_matrix
F03	selected_derived_requires_G01_through_G15_pass	false_selection
F04	G16_is_separate_and_cannot_be_inferred_from_section	response_domain_smuggle
F05	set_or_plane_output_cannot_pass_G04	set_to_section_smuggle
F06	chosen_path_screen_eigenline_or_boundary_cannot_pass_G07	auxiliary_smuggle
F07	repeated_spectrum_or_tie_without_active_rule_cannot_pass_G09	degeneracy_smuggle
F08	null_zero_or_type_change_gap_cannot_pass_G10_when_applicable	causal_stratum_smuggle
F09	full_holonomy_noncentral_generator_cannot_pass_G11	global_descent_false_positive
F10	branch_specific_positive_cells_cannot_be_spliced_to_pass_G15	cross_branch_splice
F11	inactive_strong_CSN_cannot_pass_G03	inactive_premise_promotion
F12	conditional_completion_data_cannot_be_called_native_selector	completion_choice_promotion
F13	failure_of_all_candidates_is_scoped_not_universal_no_go	overclaim
F14	no_action_carrier_source_density_Xmax_fit_or_mass_promotion	downstream_promotion
F15	production_and_independent_status_matrices_match_exactly	independence_disagreement
F16	all_source_blob_and_sha256_identities_match_frozen_manifest	source_drift

