candidate_id	candidate_family	outcome	native_section_selected	reason	variation_domain
C01	FOUNDED_PAIR_ALONE	PARTIAL_CONSTRAINT	NO	founded_pair_fixes_only_the_two_channel_projection	OPEN_SEPARATE_GATE
C02	KILLING_LINE_OR_PLANE	AVAILABLE_CONDITIONAL	NO	unique_Killing_line_exists_on_some_complete_witnesses_but_not_a_complete_extension	OPEN_SEPARATE_GATE
C03	NONNULL_DPHI_PROJECTOR	AVAILABLE_CONDITIONAL	NO	nonnull_dphi_selects_a_line_split_but_not_the_ordered_pair_and_fails_null_zero_type_change	OPEN_SEPARATE_GATE
C04	RICCI_SPECTRAL_STRUCTURE	SET_VALUED_ONLY	NO	three_pairings_exist_only_on_the_real_Segre_1_111_stratum_while_complex_repeated_and_Einstein_strata_do_not_supply_a_complete_section	OPEN_SEPARATE_GATE
C05	WEYL_PRINCIPAL_STRUCTURE	SET_VALUED_ONLY	NO	principal_bivector_data_does_not_supply_a_complete_founded_extension_and_degenerates	OPEN_SEPARATE_GATE
C06	RIEMANN_CURVATURE_OPERATOR	SET_VALUED_ONLY	NO	curvature_operator_reductions_are_not_complete_sections_and_full_holonomy_obstructs_descent	OPEN_SEPARATE_GATE
C07	ANGULAR_METRIC_SPECTRAL_DATA	AVAILABLE_CONDITIONAL	NO	angular_axes_require_a_supplied_split_and_fail_round_ties_wall_crossing_and_monodromy	OPEN_SEPARATE_GATE
C08	RECIPROCAL_PROJECTOR_FAMILY	AVAILABLE_CONDITIONAL	NO	projectors_presuppose_the_solder_or_nonnull_direction_they_would_need_to_select	OPEN_SEPARATE_GATE
C09	DUAL_SYSTOLE_MODULE	SET_VALUED_ONLY	NO	dual_systole_is_globally_set_covariant_but_has_exact_two_and_three_way_ties	OPEN_SEPARATE_GATE
C10	HOLONOMY_FIXED_SUBSPACE	AVAILABLE_CONDITIONAL	NO	supplied_SO3_or_SOplus12_centralizer_conditions_force_pointwise_full_chart_plus_or_minus_members_but_the_non_Lorentz_twisted_zero_leaves_two_full_class_mixing_freedoms_and_no_global_branch_is_selected	OPEN_SEPARATE_GATE
C11	FINITE_CELL_SEAL_ISOTROPY	PARTIAL_CONSTRAINT	NO	phi_zero_makes_every_extension_identity_and_supplies_zero_selector_rank	OPEN_SEPARATE_GATE
C12	GLOBAL_COMPLETION_TRANSITION_DATA	AVAILABLE_CONDITIONAL	NO	supplied_completion_cocycles_constrain_descent_but_neither_completion_nor_section_is selected	OPEN_SEPARATE_GATE
