source_id	path	role	git_blob	sha256	bytes
S01	LIVE.md	frontier_authority	42b987061b1af2ba1f29cf99ab0dd8beee6a1523	ae3d6fc0e5595aa634746c6e765b84018faed4201a000f0f9f838e5d7efe5936	102917
S02	CURRENT_SCIENTIFIC_PREMISES.tsv	premise_precedence	ed1de6dd9025b2709ee5127166288fa07411df2e	c05647b1498073b79f2cad56608befd43cb8f0052ea286a39cdb30a00c236ddf	5277
S03	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	extension_class	aa7d624aa1282e46d6296f890661cf50bfde5c9f	7a4fba1c6f9d02eb7ca12ac953d04e1c04e2b7271598dc99e51db5baeddedb08	2002
S04	udt_complete_coframe_native_selector_audit_2026-07-26/SELECTOR_CAPABILITY_LEDGER.tsv	registered_selector_capabilities	58cd3783ad5aef34dfdf2ea2723ed39ad0af0b7c	92aff2ffac5cae6ce7088e3656135e9807c4ec8b0870a23385ca7809155ef286	3637
S05	udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/DATA_OUTCOME_ATLAS.tsv	covariant_lift_families	b27cc8ab530ff2620d8982d205111c957b96eb31	7a6691bf6e23f306a46654144a192bfb25b26d7bb15a90a529f66d9f44f97742	2824
S06	udt_reciprocal_transport_holonomy_atlas_2026-07-26/HOLONOMY_OUTCOMES.tsv	holonomy_controls	1b910f9b42cb70b9e92118775fcd8eb5c6b8b80a	4db8ac40b75054c3ac27527672c386ed0be20118894ce664ec0a1111adc9b6b7	1403
S07	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/STATUS_LEDGER.tsv	intrinsic_holonomy_status	fc279ba08f5f4429fb070477b3aa08cadafb8380	b18129dfddb0bc992aae7a250360c842610fced417f389a98adc64dc365aaf96	1196
S08	udt_reduced_holonomy_condition_audit_2026-07-27/STATUS_LEDGER.tsv	reduced_holonomy_conditions	5c9ee661b49b0611715f92cdf76edb91e8b3b0c6	bdacc01abf2c39afcf583ce67e8ceb1131d86e74b8768356d7ba462d11bafdea	1446
S09	udt_metric_native_selector_rank_closure_audit_2026-07-27/SELECTOR_OUTCOMES.tsv	selector_rank_controls	6f07101719381f6ce82ec841f74ea16f1a16a53f	93bdfde4f84119c8ad055f3341601bbff3a4c4048789fc905421e100620a1c7b	1977
S10	udt_twisted_s3_killing_algebra_audit_2026-07-27/KILLING_STRATUM_OUTCOMES.tsv	killing_strata	e953c39553b419aa1fad1c2c47c4aaaf8c62f6a0	3bb4e8db019ada10952130df8ea1061e87773492973006d4ee695232ab0aaa25	1559
S11	udt_chart_coframe_invariance_atlas_2026-07-21/STATUS_LEDGER.tsv	chart_coframe_invariance	db79d5da02cdae943b405e9c1c7c85c747cab418	92e93ed02e7d79dbf291cbefcda182e5e5f96a11ee23d63e10aba57505e35bdb	1522
S12	udt_finite_cell_completion_atlas_2026-07-21/GLOBAL_OUTPUT_ATLAS.tsv	completion_families	2502f3c5cb7b7d13bbe0974d4c5c847ab21c567a	8189c46ba29ad982906bea284f28c5ea8a571ce3d78789a8da898115758aca0f	621
S13	udt_dual_systole_global_transport_audit_2026-07-24/GLOBAL_TRANSPORT_ATLAS.tsv	angular_systole_transport	c1ae2bd71be64618b40ebdd0d4124427c15a9a8e	ccac1057e0e734768161f334d53005f41aff9b8aeedbd3713b1c937c3c0e1a59	3000
S14	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/CLASS_GATE_MATRIX.tsv	parent_comparison_functor	e6deaddd8875b9815c7c7fe3da75355e87f646a3	aa55696a7dc96457bdefbf7a9c567a5652575b4072fa2f73a36fc3784f7d2e5a	12639
S15	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/NEXT_STEP.md	controlling_next_question	e336fb23f19370adf6c94631ee0c9a8be2f1402e	f6134ec7aa480c14ccbfddee100042e56048cb152f3bf5b0787e6f34c5f1756b	1462
