candidate_id	candidate_family	source_id	required_token	derived_feature
C01	FOUNDED_PAIR_ALONE	S03	three_angular_generator_and_four_base-angular_mixing_parameters_remain	positive_constraint_rank
C02	KILLING_LINE_OR_PLANE	S10	EXISTS_COMPLETE_FULL_KILLING_ALGEBRA_ONE_DIMENSIONAL	conditional_geometric_availability
C03	NONNULL_DPHI_PROJECTOR	S05	COVARIANT_LINE_SPLIT_NOT_ORDERED_PAIR	conditional_geometric_availability
C04	RICCI_SPECTRAL_STRUCTURE	S05	three_pairings_even_for_simple_spectrum	set_or_plane_only
C05	WEYL_PRINCIPAL_STRUCTURE	S05	CHOICE_DEPENDENT_DERIVATIVE_LIFT	set_or_plane_only
C06	RIEMANN_CURVATURE_OPERATOR	S05	CHOICE_DEPENDENT_DERIVATIVE_LIFT	set_or_plane_only
C07	ANGULAR_METRIC_SPECTRAL_DATA	S11	"preferred_base_screen_projector	OPEN"	conditional_geometric_availability
C08	RECIPROCAL_PROJECTOR_FAMILY	S05	NO_FOUNDED_PHYSICAL_LIFT_FROM_PLANE_ALONE	conditional_geometric_availability
C09	DUAL_SYSTOLE_MODULE	S13	TWO_WAY_TIE_AT_PHI_ZERO	set_or_plane_only
C10	HOLONOMY_FIXED_SUBSPACE	S06	UNIQUE_CONDITIONAL	conditional_geometric_availability
C11	FINITE_CELL_SEAL_ISOTROPY	S04	SCALAR_SEAL_VALUE_HAS_ZERO_EXTENSION_RANK	positive_constraint_rank
C12	GLOBAL_COMPLETION_TRANSITION_DATA	S12	NOT_EVALUABLE	conditional_geometric_availability
