path	bytes	sha256
AUDIT_REPORT.md	4597	469fe2c116a732ca5041525437af12b3b2d97b40b8c5385ba302b59b2f2de4c7
CALIBRATION_CONTRACT.json	6300	50fb5a254a8161bafcf71310c11cd219218c359de7fbfad2abf4b3f0dcc7543c
CALIBRATION_NODES.tsv	524	08d2b57b5d9a0e640805f65b89e81a38335e214fb22a4a5e040d3892b0c125ce
CATCH_PROOF_RESULT.json	665	56dad00da4c733e3f8bf66fce080cd31213d84f599bdea27300b2b91dd9a889b
EVIDENCE_GATES.md	905	44f5aa1fcb9fc83d13b7d79209326e6d126dccf5881d59e150755007cd8c83ba
EXACT_DERIVATION.md	3098	0bfccb0c287070ba22a311ee7819d2f83ae3e2295a110b02840db5735eb73b4a
HOLDOUT_LEDGER.tsv	962	f1274082ef8b3ac7370cb7ef0249bc70e12048ec97ab0b2572658c8d877bcde4
INDEPENDENT_VERIFICATION.json	370	586097dd7be59e57697b3da9d18dfd1b991d316b02ee72c52d863670a033fbb9
LAY_REPORT.md	1272	469460358f93928c4f8262eb9e0e0f16a4a60ece3629dc5ae73f31fd321b7755
POST_RESULT_AUTHORITY_APPEND_NOTE.md	600	30b9b0e31586b44d5ab9c701010738aa42ff65fcb004f8cd8246e7ce594877f0
PREMISE_LEDGER.tsv	2161	33cf2128fcd96a962a8ae122d38b08de3c1ae1782e9d41135098e6f7adcb83d4
PREREGISTRATION.md	5753	ea48917b363b3fe25817d2630d10e320d1d621194b93b0e1d5cee2ea9fe66ab8
RESULT_CAVEAT_LEDGER.tsv	539	fd8cdd9de2bddcb0105b707eaac9aa531fcf87a196adb08925f102ef0d45c996
SOURCE_MANIFEST_PREREG.tsv	1632	5f03e4422428150e4e1e311d064a218b4dfdc52faed8142e70abc606574a43c3
VERIFICATION_RESULT.json	911	ce22d2fb83864df5413289d623dd898510bf4161770df234c7fadb7cb186224a
build_result_manifest.py	1443	9f6b0d1dffd08b27608e9cb3362043fa6405086e5d2a9b16b5c15b8b115a151d
derive_calibration_contract.py	7866	3b7e8f35eecfe936e0cb1ebf79bd6e2b68a19c804724fef850840354ba77ac0a
run_catch_proofs.py	4378	d134685513aefa82f2715c395c1a548c6d84901ca0f61e9394606d1d60010f1a
verify_calibration_independent.py	4182	5d79f0877a8720fb2d2d38a72b75fb338a6276ac16a89fa7ac7edb686a139b54
verify_package.py	3826	101f5c1322ebbe9afaf563f95883d00bcbf1a47c7cb50eac10a0b5d23294736e
