object	status	ownership	role	forbidden_promotion
positive G305 standard completion	DERIVED_CONDITIONAL	pinned-by-THEORY	connected time-live round-S3 metric arena	selected UDT history or physical Xmax
two G306 Hopf families	DERIVED_CONDITIONAL	pinned-by-THEORY	complete metric-defined candidate family on each round slice	populated field or selected chirality
two G307 directed-germ members	DERIVED_CONDITIONAL	pinned-by-THEORY	one member per chirality after one supplied ordered point/tangent germ	physical germ or member population
G305 scale factor a(T)=X cosh(T/X)	DERIVED_CONDITIONAL	pinned-by-THEORY	exact positive warped-product carry in the bounded completion	numerical scale or realized expansion history
ordered point/tangent germ	SUPPLIED	free-and-explored	marks the common route plane	metric-generated physical query
transverse screen orientation	SUPPLIED	free-and-explored	types the signed chiral discriminator	metric-owned handedness
global spatial orientation	SUPPLIED_OR_FORGOTTEN	free-and-explored	separates SO4 from full O4 equivalence	physical parity law
quaternion and warped-product identities	MATHEMATICAL_METHOD	pinned-by-THEORY	exact derivation method	new physical premise
physical query route screen population	OPEN	absent	downstream ownership boundary	inferred from coherence
action dynamics stability backreaction	OPEN	absent	excluded from bounded classification	imported selection mechanism
source matter mass observation fit Xmax	OPEN	absent	excluded downstream physics	inferred from topology or chirality
