layer	current_status	controlling_evidence	release_candidate_use	forbidden_promotion
complete_pair_metric	DERIVED_CONDITIONAL	G89 exact B Q S Y Z pullback	primary reciprocal endpoint evaluator	physical pair or history selected
terminal_phi_pair	DERIVED_CONDITIONAL	G89 terminal triangular decomposition	input to registered SNe redshift readout	old full-arrow strain depth substituted
pair_c_eff_ratio	DERIVED_CONDITIONAL	c_eff_pair/c_E=exp(-2 phi_pair)	consistency identity only	material local signal speed
sne_redshift	CONDITIONAL_REGISTERED_READOUT	1+z=exp(phi_pair)	geometry-to-observed-redshift interface	universal relation without query typing
ambient_mu_lock	DERIVED_WITH_CAVEATS	G92 supplied endpoint transition component	upstream full-arrow diagnostic only	appended correction to phi_pair or redshift
screen_jacobi_map	DERIVED_CONDITIONAL	G79 supplied null screen query	geometry-to-angular-map interface	physical source endpoint or query selected
angular_distance	DERIVED_CONDITIONAL	d_A=sqrt(abs(det D)) for supplied Jacobi query	geometry-level SNe distance output	frozen scalar r profile called derived
historical_dA_equals_r	CONDITIONAL_FROZEN_READOUT	native SNe replay	compatibility anchor only	complete orchestra screen law
historical_dL_relation	CONDITIONAL_FROZEN_FLUX_READOUT	d_L=(1+z)^2 d_A	may be retained only with premise stamp	native reciprocal-kernel derivation
historical_P1_P2_P3	CHOSE_FROZEN_MENU	native SNe replay	observational comparison baselines	complete metric solution space
existing_native_sne_replay	VERIFIED_WITH_CAVEATS__RETYPE_ONLY	18-fit replay and exact formula equivalence	baseline regression anchor	full rebuilt-kernel replay
G79_same_geometry_query	VERIFIED_WITH_CAVEATS__ONE_CHOSEN_GEOMETRY_QUERY	one stationary endpoint plus full Jacobi screen	constructive geometry-level witness	physical profile scale endpoint or SNe fit
compressed_Gram_P	NOT_REQUIRED	G89 zero-order sufficient quotient	optional diagnostic only	regime score or source attribution
all_active_histories	CONDITIONAL_NONSELECTIVE	G90 flat monotone and loud-quiet-loud witnesses	solution-space controls	physical score selected by activity
physical_metric_query_history	OPEN	G90 ownership ceiling	must be supplied or derived before prediction	fit-selected history called native
physical_flux_source_law	OPEN	SNe replay ownership ledger	must be supplied or derived before full validation	conditional luminosity law called metric-native
release_readiness	GEOMETRIC_SNE_QUERY_READY_CONDITIONALLY	G87 G89 G90 G92 interface join	map supplied histories to z and d_A before fitting	full SNe validation claimed
