item	owner	status	qualification
reciprocal representation	founding source	DERIVED	on supplied ordered depth
infinite bare c	G265	PROPOSED_PROVENANCE_FRAME	not a signal law or value equation
signed endpoint depth	G220/G266	DERIVED_CONDITIONAL	on supplied null relation
planar bounded state	G267/G268	DERIVED_CONDITIONAL	one-dimensional relation reparameterization after provisional projection
transported mutual scalar	G269	WORKING_OPERATIONAL_READOUT	metric scalar exact on supplied branch; physical interpretation not canon
screen mismatch W	G269/G270	DERIVED_CONDITIONAL	ambient transport datum on supplied realization
screen first-jet source	G271	EXTERNALLY_REVIEWED_BOUNDED_LEAD	primary-static local generator only
physical distance functional	none	OPEN_OMITTED	must not be inferred from notation
dimensionful scale	c_E only	OBSERVED_CALIBRATION	clock/ruler conversion; no standalone length
phi profile or history	none	OPEN_OMITTED	no equation or fit admitted
X_max	none	WORKING_FOUNDATIONAL_FRAME_OMITTED	no value or realization admitted
observations source matter action transfer	none	OPEN_OMITTED	forbidden widening
