premise_id	role	manuscript_anchor	documentation_status	scientific_snapshot	controlling_source	source_sha256	reviewed_source_sha256	source_review_id	source_section	upstream_ids	dependency_type	claim_polarity	scope_note	reviewed_manuscript_version
G352	MAIN_ARGUMENT	Section 7	FIDELITY_REVIEWED	f23199e4a47aaf83acb9ea7d1ad382cd814159c2	udt_g352_clock_rate_carried_measure_readout_2026-09-05/AUDIT_REPORT.md	4f1925a1d11d00d55bea6bf3858cbedf2878e63c8e4e14e5a22211b4e03d9f8f	4f1925a1d11d00d55bea6bf3858cbedf2878e63c8e4e14e5a22211b4e03d9f8f	FIRST_COMPLETE_EDITION_2026-09-05	Registry controlling source; exact hypotheses remain source-owned	G351;G350	SCIENTIFIC	POSITIVE_OR_CONDITIONAL	Body-level construction or response/readout obligation; exact source limits retained.	FIRST_COMPLETE_EDITION_2026-09-05
G351	MAIN_ARGUMENT	Section 7	FIDELITY_REVIEWED	f23199e4a47aaf83acb9ea7d1ad382cd814159c2	udt_g351_source_free_labelwise_carried_measure_conservation_2026-09-05/AUDIT_REPORT.md	9fe05975201708714983e03ca592f75bd40ccb16ea4079b7e4a33c9dfe4b48c1	9fe05975201708714983e03ca592f75bd40ccb16ea4079b7e4a33c9dfe4b48c1	FIRST_COMPLETE_EDITION_2026-09-05	Registry controlling source; exact hypotheses remain source-owned	G350	SCIENTIFIC	POSITIVE_OR_CONDITIONAL	Body-level construction or response/readout obligation; exact source limits retained.	FIRST_COMPLETE_EDITION_2026-09-05
G350	MAIN_ARGUMENT	Section 7	FIDELITY_REVIEWED	f23199e4a47aaf83acb9ea7d1ad382cd814159c2	udt_g350_frequency_area_carried_content_ownership_2026-09-05/AUDIT_REPORT.md	70acd17b86812a4dc1da42467dc81fe4c0af817152fd635d090ccbd851af88aa	70acd17b86812a4dc1da42467dc81fe4c0af817152fd635d090ccbd851af88aa	FIRST_COMPLETE_EDITION_2026-09-05	Registry controlling source; exact hypotheses remain source-owned	G348;G349	SCIENTIFIC	POSITIVE_OR_CONDITIONAL	Body-level construction or response/readout obligation; exact source limits retained.	FIRST_COMPLETE_EDITION_2026-09-05
G349	SUPPORTING_LEMMA	Section 6	FIDELITY_REVIEWED	f23199e4a47aaf83acb9ea7d1ad382cd814159c2	udt_g349_finite_null_wavefront_patch_area_2026-09-04/AUDIT_REPORT.md	5daf07ed87fd96953d7f989e269aafe3654a6876230725fd7b3bcc1f3188467e	5daf07ed87fd96953d7f989e269aafe3654a6876230725fd7b3bcc1f3188467e	FIRST_COMPLETE_EDITION_2026-09-05	Registry controlling source; exact hypotheses remain source-owned	G348	SCIENTIFIC	POSITIVE_OR_CONDITIONAL	Supporting typing, covariance, existence, or witness material consolidated by dependency.	FIRST_COMPLETE_EDITION_2026-09-05
G348	SUPPORTING_LEMMA	Section 6	FIDELITY_REVIEWED	f23199e4a47aaf83acb9ea7d1ad382cd814159c2	udt_g348_generic_lorentzian_null_screen_area_theorem_2026-09-04/AUDIT_REPORT.md	b264f4a8959a557884f3e6a668aab68d2831b477caf693f95db7b524c01bd279	b264f4a8959a557884f3e6a668aab68d2831b477caf693f95db7b524c01bd279	FIRST_COMPLETE_EDITION_2026-09-05	Registry controlling source; exact hypotheses remain source-owned	G343;G346;G347	SCIENTIFIC	POSITIVE_OR_CONDITIONAL	Supporting typing, covariance, existence, or witness material consolidated by dependency.	FIRST_COMPLETE_EDITION_2026-09-05
G347	SUPPORTING_LEMMA	Section 6	FIDELITY_REVIEWED	f23199e4a47aaf83acb9ea7d1ad382cd814159c2	udt_g347_arbitrary_endpoint_observer_angular_area_covariance_2026-09-04/AUDIT_REPORT.md	dff25aaecd099aae6ede304675e2687599f461f6d187f553f36fa40f847b2bf7	dff25aaecd099aae6ede304675e2687599f461f6d187f553f36fa40f847b2bf7	FIRST_COMPLETE_EDITION_2026-09-05	Registry controlling source; exact hypotheses remain source-owned	G346	SCIENTIFIC	POSITIVE_OR_CONDITIONAL	Supporting typing, covariance, existence, or witness material consolidated by dependency.	FIRST_COMPLETE_EDITION_2026-09-05
G346	SUPPORTING_LEMMA	Section 6	FIDELITY_REVIEWED	f23199e4a47aaf83acb9ea7d1ad382cd814159c2	udt_g346_directional_angular_area_reciprocity_2026-09-04/AUDIT_REPORT.md	86f5ee543961e467d9a04340bc9180a428b1860a4f8d14deeee18eb28440002e	86f5ee543961e467d9a04340bc9180a428b1860a4f8d14deeee18eb28440002e	FIRST_COMPLETE_EDITION_2026-09-05	Registry controlling source; exact hypotheses remain source-owned	G342;G345	SCIENTIFIC	POSITIVE_OR_CONDITIONAL	Supporting typing, covariance, existence, or witness material consolidated by dependency.	FIRST_COMPLETE_EDITION_2026-09-05
G345	SUPPORTING_LEMMA	Section 6	FIDELITY_REVIEWED	f23199e4a47aaf83acb9ea7d1ad382cd814159c2	udt_g345_observer_calibrated_screen_scalar_2026-09-04/AUDIT_REPORT.md	59aa6d30b94d9af1a8d110f583f8ed35e242c0669727d3dd3c76681002cfd521	59aa6d30b94d9af1a8d110f583f8ed35e242c0669727d3dd3c76681002cfd521	FIRST_COMPLETE_EDITION_2026-09-05	Registry controlling source; exact hypotheses remain source-owned	G340;G344	SCIENTIFIC	POSITIVE_OR_CONDITIONAL	Supporting typing, covariance, existence, or witness material consolidated by dependency.	FIRST_COMPLETE_EDITION_2026-09-05
G344	SUPPORTING_LEMMA	Section 6	FIDELITY_REVIEWED	f23199e4a47aaf83acb9ea7d1ad382cd814159c2	udt_g344_endpoint_generating_function_determinant_density_2026-09-04/AUDIT_REPORT.md	bf84a5cfdb9041263548cffec93ec3a7fe825ffb283de6962989c272834df9a3	bf84a5cfdb9041263548cffec93ec3a7fe825ffb283de6962989c272834df9a3	FIRST_COMPLETE_EDITION_2026-09-05	Registry controlling source; exact hypotheses remain source-owned	G343	SCIENTIFIC	POSITIVE_OR_CONDITIONAL	Supporting typing, covariance, existence, or witness material consolidated by dependency.	FIRST_COMPLETE_EDITION_2026-09-05
G342	SUPPORTING_LEMMA	Section 6	FIDELITY_REVIEWED	f23199e4a47aaf83acb9ea7d1ad382cd814159c2	udt_g342_full_null_jacobi_beam_area_2026-09-04/AUDIT_REPORT.md	59eb8948329e58a697cc8f0e66ff46de095bb45d83c5d68696b6496c7d6726d8	59eb8948329e58a697cc8f0e66ff46de095bb45d83c5d68696b6496c7d6726d8	FIRST_COMPLETE_EDITION_2026-09-05	Registry controlling source; exact hypotheses remain source-owned	G341	SCIENTIFIC	POSITIVE_OR_CONDITIONAL	Supporting typing, covariance, existence, or witness material consolidated by dependency.	FIRST_COMPLETE_EDITION_2026-09-05
