id	premise	status	provenance	use
P01	Positional dilation is foundational	FOUNDING	C0/C1	Underlying dilation field
P02	Reciprocal exponential clock-ruler pair	DERIVED_CONDITIONAL	post-firewall reciprocal derivation	J1 metric representative
P03	Common positive scale is neutral	FOUNDING	CSN postulate	Common-scale countermodel and invariance
P04	Metric-null directions are mathematical geometry	DERIVED_FROM_METRIC	invariant causal-flow package	Material coupling not assumed
P05	Static clock flow radial line representative and normalization are supplied	CONDITIONAL	J0/J1 class definition	Required within class; universal selectors remain open
P06	General clock factor N determines ruler factor B	NO	general metric decomposition	Must be tested rather than assumed
P07	UDT reciprocal representative has NB=1	CONDITIONAL	J1 class definition	Produces square optical relation
P08	Local rest mass increases with redshift	OPEN_OWNER_INTUITION	owner clarification	Must not be assumed
P09	Received photon/Killing energy may be compared between static observers	CONDITIONAL	static Killing class	Operational energy calculation only
P10	Coordinate position r proper length L_prop and probe scale sigma are identical	NO	owner scale clarification	Must remain distinct
P11	A unique probe-scale-indexed metric architecture exists	OPEN	no current selector	Literal multiple cones are only one possible realization
P12	GR-like terrestrial/solar plateau exists	OWNER_HYPOTHESIS	owner clarification	Kinematic consistency test only
P13	UV branch has phi below zero and c_eff above c0	OWNER_HYPOTHESIS	owner clarification	Conditional scale endpoint
P14	IR branch has phi above zero and c_eff below c0	OWNER_HYPOTHESIS	owner clarification	Conditional scale endpoint
P15	Dual scales obey phi(x;sigma_dual)=-phi(x;sigma)	OPEN_CANDIDATE	reciprocity analogy	Operational involution domain pivot frame and coupling all open
P16	Observable UV superluminal signalling is allowed	NO_AUTHORITY	no causal completion	Must remain unauthorized
P17	Complete action source carrier boundary and time-live map	OPEN	final adjudication chain	Must remain open
