object	status	ceiling
reciprocal_character_D_delta	DERIVED_ON_SUPPLIED_ORDERED_DEPTH	does not assign physical depth values
primary_reciprocal_metric	DERIVED_AFTER_DECLARED_READOUT	F4 is a declared metric readout and history remains supplied
complete_pair_pullback	DERIVED_CONDITIONAL	needs supplied metric/coframe query and regular pair germ
completed_pair_dual_reciprocity_W1	WORKING_FOUNDATIONAL_CLARIFICATION	not bare-metric-derived and not canon
endpoint_relative_depth	DERIVED_CONDITIONAL	needs supplied completed event-pair comparison
direct_redshift	DERIVED_CONDITIONAL_ON_SUPPLIED_QUERY	no angular or flux input but not a full light theory
angular_screen_response	DERIVED_CONDITIONAL_SIBLING	metric native but not executed by G236/G278 SNe code
projective_position_W5	MIXED_DERIVED_AND_WORKING_SIBLING	not executed by G236/G278 and not canon
transparent_transfer	CONDITIONAL_IMPORT	needed only for the SNe brightness-to-area interface
G236_hat_basis	DECLARED_NUMERICAL_REPRESENTATION	finite-resolution empirical state not kernel law
Cepheid_scale_attachment	OBSERVED_PLUS_CONDITIONAL_BRIDGE	conditional absolute units for the frozen relative state
DES_holdout	OBSERVED_RELEASE_CONVENTION	no-retuning check with published normalization cargo
P1_G116_G189_Xmax_LCDM_kernel_dependency	REFUTED_BOUNDED_BY_SOURCE_AND_EXECUTABLE_TRACE	no such executable dependency in the frozen G236/G278 chain
G278_projective_dependency	REFUTED_BOUNDED	historical premise ledger is broader than executable dependency
G278_resolution_sensitivity	DOWNSTREAM_OBSERVED_LIMITATION	does not modify or fit the reciprocal kernel
physical_history_native_light_law_unique_scale_Xmax	OPEN	not resolved by provenance audit
G279_review_landing	EXTERNAL_ACCEPT_WITH_REPAIRS__R1_R2_IMPLEMENTED	repair-only external follow-up remains required
