item	status	role	forbidden_promotion
c_E	OBSERVED	clock/ruler unit conversion	unique distance or history law
F1_reciprocal_conversion	FOUNDATIONAL_PROPOSAL	declares coequal time/length conversion	metric by itself
F2_dual_reciprocity	FOUNDED_PREMISE	forces inverse clock/ruler action	ordinary covariance
F3_composition_reversal	POSIT	one-parameter representation	value or history selection
F4_metric_readout	DECLARED_READOUT	quadratic Lorentzian and areal metric presentation	dynamics
supplied_delta	SUPPLIED	ordered-depth input to founded representation	observer/event/path assignment derived
supplied_metric_history	OPEN_OR_SUPPLIED	ambient geometry for completed pair	selected universe
supplied_pair_germ	OPEN_OR_SUPPLIED	query realization for pullback	universal population law
W1	WORKING_FOUNDATIONAL_CLARIFICATION	completed-pair reciprocal normalization	bare-metric theorem or canon
W5	WORKING_FOUNDATIONAL_CLARIFICATION	physical normalized projective pair-position interpretation	bare-foundation theorem or canon
angular_screen_mixing	DERIVED_CONDITIONAL	enters complete pullback before readout	post-readout fitted modulation
direct_redshift	DERIVED_CONDITIONAL	endpoint depth/frequency relation on supplied query	complete flux or light theory
G236_relative_state	OBSERVED_PREREGISTERED_NUMERICAL_READOUT	frozen relative SNe curve	unique history or exact continuum state
radiative_transfer	CONDITIONAL_IMPORT	redshift/area to luminosity interface	native UDT Maxwell law
cepheid_ladder	OBSERVED_IMPORT	absolute host-distance information	UDT derivation
optical_distance_bridge	CONDITIONAL_OBSERVATIONAL_BRIDGE	joins ladder to UDT SNe channel	metric identity
DES_MU_convention	OBSERVED_RELEASE_CONVENTION	held-out published normalization	UDT-native absolute datum
P1_G116_G189	NOT_USED_HISTORICAL_CONTROLS	regression/provenance only	native kernel dependency
X_max	OPEN	not used	kernel input or fitted scale
Lambda_CDM_distance	NOT_USED	prohibited interpretation	native or imported distance formula
