path	role
founding.md	current founding and working-clarification ledger
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	founding reciprocal algebra
udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/EXACT_DERIVATION.md	primary ordered-pair descent
udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/derive_primary_pair_kernel.py	primary descent implementation
udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/EXACT_DERIVATION.md	full spherical pullback order
udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/derive_primary_metric_pair_pullback.py	pullback implementation
udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/EXACT_DERIVATION.md	W1 completed-pair construction
udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/ADOPTION_RECORD.md	W1 ownership status
udt_g179_complete_coframe_pair_pullback_extension_2026-08-19/EXACT_DERIVATION.md	general complete-coframe pullback and W1 interface
udt_g216_observer_event_comparison_clock_rate_ownership_2026-08-22/EXACT_DERIVATION.md	endpoint-relative clock depth ownership
udt_g243_reciprocal_sne_radial_spline_freeze_2026-08-24/EXACT_DERIVATION.md	direct SNe redshift edge and imported-transfer boundary
udt_g197_native_kernel_provenance_and_startup_integrity_audit_2026-08-21/PROVENANCE_LEDGER.tsv	historical scaffold ledger
udt_g197_native_kernel_provenance_and_startup_integrity_audit_2026-08-21/COUNTERFACTUAL_DELETION_TESTS.md	historical subtraction controls
udt_g253_native_kernel_minimal_dependency_compression_audit_2026-08-24/LOAD_BEARING_EDGE_LEDGER.tsv	compressed native dependency edges
udt_g253_native_kernel_minimal_dependency_compression_audit_2026-08-24/MINIMAL_SOURCE_CUT.tsv	compressed source cut
udt_g253_native_kernel_minimal_dependency_compression_audit_2026-08-24/EXACT_DERIVATION.md	compressed-chain derivation
udt_g271_primary_metric_null_screen_first_jet_interlock_2026-08-26/EXACT_DERIVATION.md	metric depth/screen first-jet interlock
udt_g272_complete_relation_rapidity_distance_ownership_2026-08-26/EXACT_DERIVATION.md	complete transported open-ball state
udt_g273_projective_pair_distance_foundational_ownership_2026-08-26/EXACT_DERIVATION.md	projective uniqueness scope
udt_g274_projective_pair_position_network_descent_2026-08-26/EXACT_DERIVATION.md	full frame-morphism descent
udt_g275_projective_position_scale_attachment_xmax_separation_2026-08-26/EXACT_DERIVATION.md	homothety and scale boundary
udt_g276_proper_clock_ce_scale_anchor_reconciliation_2026-08-26/EXACT_DERIVATION.md	proper-clock scale attachment
udt_g236_dual_sne_relational_state_reconstruction_2026-08-23/PREREGISTRATION.md	frozen SNe state contract
udt_g236_dual_sne_relational_state_reconstruction_2026-08-23/derive_dual_sne_relational_state.py	SNe state implementation
udt_g236_dual_sne_relational_state_reconstruction_2026-08-23/PRODUCTION_RESULT.json	frozen state outcome
udt_g277_observational_scale_anchor_ownership_2026-08-26/AUDIT_REPORT.md	observational import boundary
udt_g277_observational_scale_anchor_ownership_2026-08-26/PREMISE_LEDGER.tsv	anchor premise types
udt_g278_cepheid_scale_attachment_des_holdout_2026-08-27/PREREGISTRATION.md	attachment contract
udt_g278_cepheid_scale_attachment_des_holdout_2026-08-27/derive_scale_and_holdout.py	attachment implementation
udt_g278_cepheid_scale_attachment_des_holdout_2026-08-27/diagnose_resolution_sensitivity.py	resolution diagnostic
udt_g278_cepheid_scale_attachment_des_holdout_2026-08-27/PREMISE_LEDGER.tsv	G278 premise types
