sha256	bytes	path	role
e0aebb4131ee3e231b824a8cab4e0aabebe7a678de09b4aa4d39396f3bd5565a	39830	founding.md	current founding and working-clarification ledger
b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	11418	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	founding reciprocal algebra
9e985bbd73a2ffe099a57257ea51778fff9ec75eb48721565faafaafd14edc62	4709	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/EXACT_DERIVATION.md	primary ordered-pair descent
f2a947c6a14d77741e6eef8c423b863fa0f16ab8a9a08310dd9e10c89a37013e	7855	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/derive_primary_pair_kernel.py	primary descent implementation
e51704c01a72c546401e31f59ecf0b1881ee2c273324ccba2e4572fc7d01941d	7639	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/EXACT_DERIVATION.md	full spherical pullback order
d4903c215cb794b13c313518343bded11125bba56536a0a5eb7cfeb644c07cec	10021	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/derive_primary_metric_pair_pullback.py	pullback implementation
df53a5b3c52d0bd24496d060637dc158a4f2c7cdd17226c9446ea0d338d27831	5272	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/EXACT_DERIVATION.md	W1 completed-pair construction
39ebafd725f2eb8f0e8a0b2fcd6cf2a485c3c7fbfc7dde1582844f066aa88cb2	928	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/ADOPTION_RECORD.md	W1 ownership status
4c059659785953822bcb4f902705ed7c0c7c4bd69243582a0663be6894cf3a51	7459	udt_g179_complete_coframe_pair_pullback_extension_2026-08-19/EXACT_DERIVATION.md	general complete-coframe pullback and W1 interface
02acdfb6f7309192ef728edc615972a395426120bbf2f4593102cef1cd531f8b	7822	udt_g216_observer_event_comparison_clock_rate_ownership_2026-08-22/EXACT_DERIVATION.md	endpoint-relative clock depth ownership
f7cdd6fb3d2df5cb986c902f0c95bde6f44a55d0342cc13be206bcb350c5343f	3482	udt_g243_reciprocal_sne_radial_spline_freeze_2026-08-24/EXACT_DERIVATION.md	direct SNe redshift edge and imported-transfer boundary
81714bae8be906fe473e20a323d52959356e5ec456ed6e09a3d6768b90257c0f	6471	udt_g197_native_kernel_provenance_and_startup_integrity_audit_2026-08-21/PROVENANCE_LEDGER.tsv	historical scaffold ledger
a53d031df3cce1840f75f953e41ad41a0ac314e64564db4bae94124f65d86d5e	2080	udt_g197_native_kernel_provenance_and_startup_integrity_audit_2026-08-21/COUNTERFACTUAL_DELETION_TESTS.md	historical subtraction controls
03cdb4989dd7f0bbf5d0eec1906741b8b3023788f289d2e7a471747db09f8abc	2826	udt_g253_native_kernel_minimal_dependency_compression_audit_2026-08-24/LOAD_BEARING_EDGE_LEDGER.tsv	compressed native dependency edges
40ae3f251a286419fdce28d52aaed05847338e38a352a4dfd838e8ea63fadd24	3233	udt_g253_native_kernel_minimal_dependency_compression_audit_2026-08-24/MINIMAL_SOURCE_CUT.tsv	compressed source cut
24386541f5cc6a2d6bc9f9a02e6678f396772e54202d40e89bbe2031b94f17f2	8466	udt_g253_native_kernel_minimal_dependency_compression_audit_2026-08-24/EXACT_DERIVATION.md	compressed-chain derivation
94b7e8e9caae3230d508ad42fac4ab0b1859c87b2e10b89a3e4934833e1fa6e7	6980	udt_g271_primary_metric_null_screen_first_jet_interlock_2026-08-26/EXACT_DERIVATION.md	metric depth/screen first-jet interlock
e0285d5cb0fce4caf2b46cb5a5e795696d1b3fa76c34dfc7cbce5aa70255d566	8114	udt_g272_complete_relation_rapidity_distance_ownership_2026-08-26/EXACT_DERIVATION.md	complete transported open-ball state
cc77269724a0e4c814fc2d6794a5520e3840a7ca8519c3f2e8f702950056d186	8783	udt_g273_projective_pair_distance_foundational_ownership_2026-08-26/EXACT_DERIVATION.md	projective uniqueness scope
8cee4fa46ea13c6101bbce8c94072a516d38ce0f863e3658a87bab4d77e7e18f	7201	udt_g274_projective_pair_position_network_descent_2026-08-26/EXACT_DERIVATION.md	full frame-morphism descent
4ed8727e317347f455fc7ae16cfb2a2bf8d9cf7330348ff74e46aa274ae1cb41	4481	udt_g275_projective_position_scale_attachment_xmax_separation_2026-08-26/EXACT_DERIVATION.md	homothety and scale boundary
0945f4c60f14becd5c772f128d5ca385264cc6a2eda603adfbf546199e848105	4335	udt_g276_proper_clock_ce_scale_anchor_reconciliation_2026-08-26/EXACT_DERIVATION.md	proper-clock scale attachment
f543f209cf1dadc8e4bdb344155c290d861eac4d8dbea31557dfbde970602593	7849	udt_g236_dual_sne_relational_state_reconstruction_2026-08-23/PREREGISTRATION.md	frozen SNe state contract
a21e6a2e5ab3da366fbb79145e0504be70ddabbb290517148109c135de1ed7ac	15027	udt_g236_dual_sne_relational_state_reconstruction_2026-08-23/derive_dual_sne_relational_state.py	SNe state implementation
d226a7c5aeedd593de0bf1458ded707166e23f9f8a28649eb7a58db62f6501bf	111324	udt_g236_dual_sne_relational_state_reconstruction_2026-08-23/PRODUCTION_RESULT.json	frozen state outcome
e32413cc9f7968057a2b0a28785970da5fc3537b8dd6d1f56e108cf8d544f6ec	7543	udt_g277_observational_scale_anchor_ownership_2026-08-26/AUDIT_REPORT.md	observational import boundary
13b1c710041d27937c222d4fa77abb7febcad3a04578c17844959d307cd7b0a4	1996	udt_g277_observational_scale_anchor_ownership_2026-08-26/PREMISE_LEDGER.tsv	anchor premise types
925edc11dbb5ac0e204abcf2dcac184dc7bf1a6de91c9c946206965194faed61	7464	udt_g278_cepheid_scale_attachment_des_holdout_2026-08-27/PREREGISTRATION.md	attachment contract
0e4df85feb35ff01212fc5b38c5ffa86b1c1168cdfb7f496a2e267483a865279	23391	udt_g278_cepheid_scale_attachment_des_holdout_2026-08-27/derive_scale_and_holdout.py	attachment implementation
b56af85f87c62d3860f6dc4057b463ebb82c1ca20be377a84490c1cee4401c97	6937	udt_g278_cepheid_scale_attachment_des_holdout_2026-08-27/diagnose_resolution_sensitivity.py	resolution diagnostic
e5f3577d7a8bb28b3dcd3307b6d2474a5f7599df1b7402245ee6320c63550c51	1276	udt_g278_cepheid_scale_attachment_des_holdout_2026-08-27/PREMISE_LEDGER.tsv	G278 premise types
