id	path	authority_class	permitted_use	P02_role
S01	LIVE.md	CURRENT_CONTROL	CURRENT_STATUS_ONLY	Prevents a local atlas from selecting dynamics scale matter or a follow-on stage.
S02	HANDOFF.md	CURRENT_CONTROL_SUBORDINATE_TO_LIVE	CURRENT_ORIENTATION_ONLY	Preserves the current honest claim and owner vocabulary.
S03	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	CURRENT_FRONTIER_WITH_LATER_OVERLAYS	AFFIRMATIVE_WITH_STATUS_STAMPS	Separates derived reciprocal kinematics from open action source boundary and bridge.
S04	UDT_NATIVE_ACTION_COLD_PACKET.md	BINDING_FOUNDATION_PACKET	AFFIRMATIVE_WITH_EXPLICIT_OPENS	Supplies the conditional four-dimensional Lorentzian arena while forbidding a static diagonal round default.
S05	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	FOUNDATIONAL_POSTULATE_LOCKED	AFFIRMATIVE	Requires local positive common-scale equivalence while leaving the physical representative open.
S06	udt_premise_reset_audit_2026-07-19/AUDIT_REPORT.md	CURRENT_CORRECTION_OVERLAY	AFFIRMATIVE_CORRECTION	Keeps signed local phi separate from distance and keeps its metric join open.
S07	metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	VERIFIED_WITH_CAVEATS	BOUNDED_GEOMETRY_SOURCE	Requires all ten local metric slots mixed sectors and Cartan geometry to remain visible.
S08	rung2_weld_postjuly_regrade_2026-07-19/AUDIT_REPORT.md	VERIFIED_WITH_CAVEATS_CORRECTION	GEOMETRIC_COUPLING_ONLY	Prevents curvature identities and ranks from becoming equations of motion.
S09	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	FINAL_ACTION_STATUS_LEDGER	STATUS_BOUNDARY_ONLY	Keeps complete native dynamics open and conditional action lanes out of P02.
S10	udt_reciprocal_plane_projector_audit_2026-07-21/AUDIT_REPORT.md	VERIFIED_WITH_CAVEATS	NONSELECTION_BOUNDARY	Prevents the supplied split and its integrability strata from becoming a selected reciprocal plane.
S11	udt_complete_metric_solution_space_map_2026-07-21/PREREGISTRATION.md	FROZEN_PARENT_PREREGISTRATION	P02_STAGE_AUTHORITY	Defines configuration constrained and dynamical spaces and the anti-imposition rules.
S12	udt_complete_metric_solution_space_map_2026-07-21/FUTURE_ATLAS_PROTOCOL.tsv	FROZEN_PARENT_PROTOCOL	P02_STAGE_AUTHORITY	Defines P02 inputs outputs stop condition and maximum conclusion.
S13	udt_complete_metric_solution_space_map_2026-07-21/COMPUTE_AND_STOP_CONTRACT.tsv	FROZEN_PARENT_PROTOCOL	COMPUTE_BOUNDARY	Requires exact rational strata and forbids floating-only classification.
S14	udt_complete_metric_solution_space_map_2026-07-21/COMPLETE_METRIC_DOF_LEDGER.tsv	FROZEN_PARENT_LEDGER	CONFIGURATION_COVERAGE	Requires every slot coordinate dependence degeneration mixed sector and open join to remain visible.
S15	udt_canonical_geometry_evaluator_p01_2026-07-21/AUDIT_REPORT.md	VERIFIED_PARENT_TOOL	GEOMETRY_REGRESSION_ONLY	Supplies the independently verified law-neutral local metric and coframe evaluator.
S16	udt_local_jet_atlas_p02_2026-07-21/PREREGISTRATION.md	FROZEN_P02_PREREGISTRATION	AUDIT_CONTROL	Freezes exact strata witnesses catches compute bound and conclusion ceiling before atlas construction.
