id	base_inertia	screen_inertia	full_inertia_by_congruence	full_rank	det_h	det_q	det_g	branch_status	fixed_shift_witness
S01	0/0/2	0/0/2	0/0/4	0	0	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S02	0/0/2	0/1/1	0/1/3	1	0	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S03	0/0/2	0/2/0	0/2/2	2	0	1	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S04	0/0/2	1/0/1	1/0/3	1	0	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S05	0/0/2	1/1/0	1/1/2	2	0	-1	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S06	0/0/2	2/0/0	2/0/2	2	0	1	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S07	0/1/1	0/0/2	0/1/3	1	0	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S08	0/1/1	0/1/1	0/2/2	2	0	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S09	0/1/1	0/2/0	0/3/1	3	0	1	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S10	0/1/1	1/0/1	1/1/2	2	0	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S11	0/1/1	1/1/0	1/2/1	3	0	-1	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S12	0/1/1	2/0/0	2/1/1	3	0	1	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S13	0/2/0	0/0/2	0/2/2	2	1	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S14	0/2/0	0/1/1	0/3/1	3	1	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S15	0/2/0	0/2/0	0/4/0	4	1	1	1	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S16	0/2/0	1/0/1	1/2/1	3	1	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S17	0/2/0	1/1/0	1/3/0	4	1	-1	-1	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S18	0/2/0	2/0/0	2/2/0	4	1	1	1	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S19	1/0/1	0/0/2	1/0/3	1	0	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
