id	failure_mutation	required_disposition
F01	drop K preservation	abstract reciprocal operator derivation must fail
F02	break composition	one-parameter character derivation must fail
F03	break reversal inverse	ordered-pair certification must fail
F04	call half-trace or sech a multiplicative channel	character typing must fail
F05	promote delta(p,q)=phi(q)-phi(p) without source	endpoint realization certification must fail
F06	equate spatial Levi-Civita transport with nontrivial reciprocal comparison despite exact control	transport identification must fail
F07	select a unique path at a cut locus without premise	global operator certification must fail
F08	ignore independent local coframe refactorizations	gauge-covariance certification must fail
F09	promote physical Xmax or CMB interpretation	scope certification must fail
F10	use action source carrier mass or density to close kinematics	scope certification must fail
