claim	status	scope_or_limit
abstract_ordered_reciprocal_pair_operator	DERIVED_CONDITIONAL_WITH_FOUNDING_PREMISE_STAMPS	named_channels_dual_reciprocity_regular_composition_nontriviality_sign_unit
operator_determinant_composition_inverse	DERIVED_EXACT	reciprocal_rank_two_representation
balanced_basis_O11_boost	DERIVED_ALGEBRAIC	K_pairing_basis_change
K_as_physical_observer_interval	OPEN_READOUT_PREMISE	K_registered_as_faithful_dual_pairing
named_temporal_channel_exp_minus_rho	DERIVED_CONDITIONAL	nonnegative_depth_channel
reversal_even_half_trace_cosh	DERIVED_DIAGNOSTIC	not_a_channel_character
sech_as_mutual_observer_slow_factor	CONDITIONAL	physical_K_readout_and_endpoint_frames_required
endpoint_local_phi_factorization	DERIVED_IDENTITY_GIVEN_OPEN_JOIN	delta_pq_equal_phi_q_minus_phi_p_not_derived
static_metric_coordinate_covector_transport	DERIVED_EXACT_CONTROL	equals_S_Delta_phi
static_metric_orthonormal_spatial_transport	DERIVED_EXACT_CONTROL	identity_not_nontrivial_boost
stationary_lapse_ratio	CONDITIONAL_ORDERED_READOUT	common_static_slicing_and_local_phi_join
global_metric_pair_depth_realization	OPEN	must_be_centerless_nonnegative_and_composition_compatible
complete_angular_shift_transport	OPEN	reciprocal_subbundle_endpoint_frames_and_holonomy
path_family_at_cut_locus	OPEN	no_unique_path_or_averaging_rule_selected
physical_global_mutual_clock_law	OPEN_TYPED_JOIN	operator_exists_but_readout_and_pair_realization_incomplete
physical_Xmax_mass_density_CMB	OPEN_NOT_PROMOTED	outside_bounded_audit
overall	VERIFIED_WITH_CAVEATS	operator_closed_global_physical_realization_open
