candidate_id	family_id	disposition
C01	F05	ISOTROPIC_PARENT_CONTROL
C02	F05	ISOTROPIC_PARENT_CONTROL
C03	F05	ISOTROPIC_PARENT_CONTROL
C04	F06	AREA_ONLY_CONTROL
C05	F07	DIAGONAL_SHEAR_CONTROL
C06	F08	OFFDIAGONAL_SHEAR_CONTROL
C07	F09	BOTH_SHEARS_CONTROL
C08	F10	FULL_SCREEN_CONTROL
C09	F10	FULL_SCREEN_CONTROL
C10	F10	FULL_SCREEN_CONTROL
C11	F11	SLAVED_AREA_CONTROL
C12	F11	CONSTANT_AREA_CONTROL
C13	F11	CONSTANT_DEPTH_CONTROL
C14	F12	SYMMETRY_ENHANCED_CONTROL
C15	F13	TWIST_FREE_CONTROL
C16	F14	CAUSAL_STRATA_CONTROL
C17	F14	CAUSAL_STRATA_CONTROL
C18	F15	DEGENERATE_NO_INVERSE
