cell_id	screen	mixing	dependence	symmetry	global_status	disposition
X0001	ISOTROPIC	ZERO	RADIAL_ONLY	SO3	LOCAL_SPHERICAL	ROUND_SO3_ENVELOPE_UNSELECTED
X0002	ISOTROPIC	ZERO	RADIAL_ONLY	SO3	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0003	ISOTROPIC	ZERO	RADIAL_ONLY	SO3	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0004	ISOTROPIC	ZERO	RADIAL_ONLY	SO3	MISSING_WRL_S3_JOIN	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0005	ISOTROPIC	ZERO	RADIAL_ONLY	U1_REFLECTION_OPTIONAL	LOCAL_SPHERICAL	AXIAL_U1_ENVELOPE_UNSELECTED
X0006	ISOTROPIC	ZERO	RADIAL_ONLY	U1_REFLECTION_OPTIONAL	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0007	ISOTROPIC	ZERO	RADIAL_ONLY	U1_REFLECTION_OPTIONAL	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0008	ISOTROPIC	ZERO	RADIAL_ONLY	U1_REFLECTION_OPTIONAL	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0009	ISOTROPIC	ZERO	RADIAL_ONLY	DISCRETE	LOCAL_SPHERICAL	GENERIC_SCREEN_ENVELOPE_UNSELECTED
X0010	ISOTROPIC	ZERO	RADIAL_ONLY	DISCRETE	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0011	ISOTROPIC	ZERO	RADIAL_ONLY	DISCRETE	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0012	ISOTROPIC	ZERO	RADIAL_ONLY	DISCRETE	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0013	ISOTROPIC	ZERO	RADIAL_ONLY	NONE	LOCAL_SPHERICAL	GENERIC_SCREEN_ENVELOPE_UNSELECTED
X0014	ISOTROPIC	ZERO	RADIAL_ONLY	NONE	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0015	ISOTROPIC	ZERO	RADIAL_ONLY	NONE	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0016	ISOTROPIC	ZERO	RADIAL_ONLY	NONE	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0017	ISOTROPIC	ZERO	RADIAL_ONLY	SYMMETRY_ENHANCED	LOCAL_SPHERICAL	SYMMETRY_ENHANCED_CONTROL
X0018	ISOTROPIC	ZERO	RADIAL_ONLY	SYMMETRY_ENHANCED	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0019	ISOTROPIC	ZERO	RADIAL_ONLY	SYMMETRY_ENHANCED	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0020	ISOTROPIC	ZERO	RADIAL_ONLY	SYMMETRY_ENHANCED	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0021	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	SO3	LOCAL_SPHERICAL	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0022	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	SO3	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0023	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	SO3	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0024	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	SO3	MISSING_WRL_S3_JOIN	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0025	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	U1_REFLECTION_OPTIONAL	LOCAL_SPHERICAL	AXIAL_U1_ENVELOPE_UNSELECTED
X0026	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	U1_REFLECTION_OPTIONAL	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0027	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	U1_REFLECTION_OPTIONAL	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0028	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	U1_REFLECTION_OPTIONAL	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0029	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	DISCRETE	LOCAL_SPHERICAL	GENERIC_SCREEN_ENVELOPE_UNSELECTED
X0030	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	DISCRETE	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
