family_id	name	provenance	domain_dependence	symmetry	mixing	screen_modes	registered_witnesses	global_join	disposition
F00	EQUATORIAL_C0_PROVENANCE	OBSERVED_BOUNDED_SLICE	r	U1	AXIAL	ROUND_SLICE	FD1_462_ROWS	NOT_COMPLETE_ANGULAR	RETAIN_CONTROL_NO_NEW_SOLVE
F01	SPHERICAL_ROUND_NO_MIX	CHOSE_DERIVED_LIMIT	r	SO3	ZERO	ISOTROPIC	C2_PARENT_OWNERSHIP_CONTROL	LOCAL_SPHERICAL_CHART	CONDITIONAL_RADIAL_CONTROL
F02	SPHERICAL_ROUND_AXIAL_MIX	CHOSE_CONDITIONAL_C1	r	U1_PLUS_REFLECTION	ONE_AXIAL_SHIFT	ISOTROPIC	C1_PARENT_OWNERSHIP_CONTROL	LOCAL_SPHERICAL_CHART	COUPLED_R_THETA_BASIS_REQUIRED
F03	SPHERICAL_AXISYMMETRIC_FULL_SCREEN_ENVELOPE	CHOSE_MATHEMATICAL_ENVELOPE	r_theta	U1_OPTIONAL_REFLECTION	ZERO_OR_AXIAL	AREA_PLUS_TWO_SHEARS	NONE_SELECTED	LOCAL_SPHERICAL_CHART	PROFILE_FAMILY_OPEN_NO_SOLVE
F04	SPHERICAL_NONAXISYMMETRIC_FULL_SCREEN_ENVELOPE	CHOSE_MATHEMATICAL_ENVELOPE	r_theta_psi	DISCRETE_OR_NONE	ZERO_OR_TWO_COMPONENT	AREA_PLUS_TWO_SHEARS	SMOOTH_AREA_COUNTEREXAMPLE	LOCAL_SPHERICAL_CHART	PROFILE_FAMILY_OPEN_NO_SOLVE
F05	S3_ISOTROPIC_PARENT	CHOSE_CONDITIONAL_COMPLETE_CONTROL	S3_COORDINATES	CONTROL_DEPENDENT	TWIST_ON	ISOTROPIC_LAMBDA	C01_C02_C03	NO_WRL_S3_CROSS_SPLICE	GLOBAL_CONTROL_ONLY
F06	S3_AREA_ONLY	CHOSE_CONDITIONAL_COMPLETE_CONTROL	S3_COORDINATES	CONTROL_DEPENDENT	TWIST_ON	AREA	C04	NO_WRL_S3_CROSS_SPLICE	GLOBAL_CONTROL_ONLY
F07	S3_DIAGONAL_SHEAR_ONLY	CHOSE_CONDITIONAL_COMPLETE_CONTROL	S3_COORDINATES	CONTROL_DEPENDENT	TWIST_ON	SHEAR_R	C05	NO_WRL_S3_CROSS_SPLICE	GLOBAL_CONTROL_ONLY
F08	S3_OFFDIAGONAL_SHEAR_ONLY	CHOSE_CONDITIONAL_COMPLETE_CONTROL	S3_COORDINATES	CONTROL_DEPENDENT	TWIST_ON	SHEAR_B	C06	NO_WRL_S3_CROSS_SPLICE	GLOBAL_CONTROL_ONLY
F09	S3_BOTH_SHEARS	CHOSE_CONDITIONAL_COMPLETE_CONTROL	S3_COORDINATES	CONTROL_DEPENDENT	TWIST_ON	SHEAR_R_PLUS_SHEAR_B	C07	NO_WRL_S3_CROSS_SPLICE	GLOBAL_CONTROL_ONLY
F10	S3_FULL_SCREEN	CHOSE_CONDITIONAL_COMPLETE_CONTROL	S3_COORDINATES	CONTROL_DEPENDENT	TWIST_ON	AREA_PLUS_TWO_SHEARS	C08_C09_C10	NO_WRL_S3_CROSS_SPLICE	GLOBAL_CONTROL_ONLY
F11	S3_SLAVED_OR_CONSTANT_CONTROLS	CHOSE_CONDITIONAL_COMPLETE_CONTROL	S3_COORDINATES	CONTROL_DEPENDENT	TWIST_ON	AREA_PLUS_TWO_SHEARS	C11_C12_C13	NO_WRL_S3_CROSS_SPLICE	CONTROL_STRATA_RETAINED
F12	S3_HOMOGENEOUS_SYMMETRY_ENHANCED	CHOSE_CONTROL	S3_HOMOGENEOUS	ENHANCED_NONUNIQUE	TWIST_DISPLAYED_NOT_OWNED	ISOTROPIC	C14	NO_WRL_S3_CROSS_SPLICE	SYMMETRY_CONTROL
F13	S3_TWIST_FREE_FULL_SCREEN	CHOSE_CONTROL	S3_COORDINATES	CONTROL_DEPENDENT	ZERO	AREA_PLUS_TWO_SHEARS	C15	NO_WRL_S3_CROSS_SPLICE	PROJECTOR_BLOCK_CONTROL
F14	S3_CAUSAL_NULL_SIGN_CONTROLS	CHOSE_CONTROL	S3_COORDINATES	CONTROL_DEPENDENT	TWIST_ON	AREA_PLUS_TWO_SHEARS	C16_C17	NO_WRL_S3_CROSS_SPLICE	CAUSAL_STRATA_CONTROL
F15	S3_DEGENERATE_SCREEN	CHOSE_CONTROL	S3_COORDINATES	UNDEFINED	UNDEFINED	DEGENERATE	C18	NO_WRL_S3_CROSS_SPLICE	NO_INVERSE_NO_SOLVE
F16	S3_GLOBAL_NON_TORIC_FULL_SCREEN	DERIVED_AVAILABILITY_COUNTEREXAMPLE	S3_FULL	NO_T2	CONTROL_DEPENDENT	AREA_OR_FULL_SCREEN	EXP_EPS_RE_Z1_COUNTEREXAMPLE	NO_WRL_S3_CROSS_SPLICE	GLOBAL_SYMMETRY_COUNTERCONTROL
F17	GENERAL_QAB_BA_OPERATOR_ENVELOPE	CHOSE_ORGANIZATION_DEVICE	r_y1_y2	INPUT_DEPENDENT	TWO_COMPONENT_ALLOWED	GENERAL_POSITIVE_SCREEN	NO_SELECTED_WITNESS	NOT_A_PHYSICAL_COMPLETION	ALGEBRA_ONLY
