object	status	scope	remaining_open
general_screen_shift_inverse	DERIVED	stationary_positive_qAB_envelope	physical_complete_metric_selection
general_volume_density	DERIVED	stationary_positive_qAB_envelope	global_completion_and_degenerate_strata
stationary_scalar_mode_operator	DERIVED_CONDITIONAL	chosen_Box_g_diagnostic	UDT_native_probe_or_dynamics
shift_divergence_term	DERIVED	general_stationary_angular_shift	physical_shift_field
screen_area_plus_two_shears	DERIVED_CONFIGURATION_DIRECTIONS	symmetric_two_screen_tangent	physical_profile_and_law
SO3_basis_tier	DERIVED_CONDITIONAL	certified_round_screen	physical_family_and_population
U1_basis_tier	DERIVED_CONDITIONAL	certified_axial_family	physical_family_and_population
nonaxisymmetric_basis_tier	DERIVED_CONDITIONAL	discrete_or_no_continuous_symmetry	physical_family_and_population
C01_C18_routing	VERIFIED_MAP	registered_controls_only	WRL_global_join
C1_complete_angular_role	CHOSE_CONDITIONAL_CONTROL	local_spherical_round_axial_representative	physical_selection
S3_controls	CHOSE_CONDITIONAL_CONTROLS	separate_global_families	no_WRL_S3_cross_splice
N01_C1_coupling_atlas	OPEN_NOT_AUTHORIZED	design_ready_CPU_tile	separate_go_and_preregistration
FD2_and_GPU	OPEN_NOT_AUTHORIZED	outside_MAP	physical_screen_source_boundary_and_converged_solve
