candidate_id	object	current_status	mathematical_type	active_native_nonidentity_history_rule	separates_preregistered_shapes	classification
O01	founded reciprocal character	DERIVED_ON_SUPPLIED_DEPTH	representation/evaluator	no	no	maps supplied depth to reciprocal squeeze
O02	complete pullback and terminal readout	DERIVED_CONDITIONAL	algebraic evaluator	no	no	reads any supplied regular E and J
O03	first variation of h and phi_pair	DERIVED_CONDITIONAL	differential identity	no	no	differentiates a supplied movie
O04	Maurer-Cartan block equations	DERIVED_IDENTITY	integrability identity	no	no	vacuous on a time-only base and automatic for smooth E
O05	Cartan curvature and Bianchi equations	DERIVED_IDENTITY	geometric definition/identity	no	no	compute and constrain identities of supplied g but select no response equation
O06	overlap gluing laws	DERIVED_CONDITIONAL	chart compatibility	no	no	all three contribution-live histories obey them
O07	joint Lorentz Gram rank and inertia	DERIVED_CONDITIONAL_NONIDENTITY	simultaneous-realizability constraint	no	no	rejects inconsistent cells but is retained by every realizable smooth history
O08	endpoint transition composition	DERIVED_CONDITIONAL	matched-state composition	no	no	telescopes only after a common state family is supplied
O09	Jacobi equation and connection holonomy	DERIVED_CONDITIONAL	propagation/transport on supplied g and query	no	no	returns response channels but does not select g or J
O10	G85 regular completion conditions	OBSERVED_BOUNDED	kinematic regularity/completion atlas	no	no	multiple inequivalent regular completion archetypes survive
O11	EH field equation	CONDITIONAL_NOT_SELECTED	inactive action branch	no	unknown	no native minimality or variation owner
O12	C2/Bach field equation	CONDITIONAL_INACTIVE	inactive action branch	no	unknown	depends on inactive strong local CSN
O13	bootstrap self-consistency	WORKING_INACTIVE	hypothesized global-local selector	no	unknown	no current equation
O14	G97 SNe mismatch	OBSERVED_CONDITIONAL	after-the-fact observational test	no	yes_for_one_control_only	not a metric-native pre-observation history rule
O15	native radiative transfer/source	OPEN	missing physical law	no	unknown	cannot own current history
