object	status	meaning
complete_pair_evaluator	DERIVED_CONDITIONAL	reads supplied E and J without postprocessing orchestra
complete_time_live_compatibility	DERIVED_IDENTITY	lawful smooth coframe movies but no selected movie
overlap_and_joint_Gram	DERIVED_CONDITIONAL_NONIDENTITY	rejects inconsistent simultaneous assemblies but not history shapes
flat_all_factor_live_history	DERIVED_CONSTRUCTIVE_WITNESS	regular separating continuation
monotone_all_factor_live_history	DERIVED_CONSTRUCTIVE_WITNESS	regular separating continuation
loud_quiet_loud_all_factor_live_history	DERIVED_CONSTRUCTIVE_WITNESS	regular metric-native survivor with one quiet middle
G85_global_completion	OBSERVED_BOUNDED_MULTIPLICITY	multiple regular completion archetypes survive
G97_SNe_control	OBSERVED_CONDITIONAL_NEGATIVE	one preselected history incompatible under provisional transfer
physical_history_owner	OPEN	no active native separating equation in frozen source universe
bootstrap_history_owner	WORKING_INACTIVE	possible later hypothesis without current equation
audit_landing	INTERNALLY_VERIFIED_WITH_CAVEATS__PERMITTED_NOT_OWNED	source- and regular-stratum-bounded nonselection
