statement	status	maximum_claim
continuous_additive_scalar_map_is_ks	DERIVED_CONDITIONAL	on_supplied_homogeneous_additive_parameter_only
projective_map_is_tanh_ks	DERIVED_CONDITIONAL	bounded_scalar_group_coordinate_only
k_is_physical_scale	OPEN	requires_independent_operational_attachment
endpoint_composition_implies_homogeneity	REJECTED	counterexample_V_equals_s_plus_s_cubed
flow_composition_implies_constant_generator	REJECTED	nonlinear_autonomous_flows_compose
scalar_translation_equivariance_implies_constant_generator	DERIVED_CONDITIONAL	on_one_dimensional_depth_state_only
complete_state_translation_equivariance_implies_constant_generator	REJECTED	augmented_y_state_counterexample
nonzero_scalar_flow_has_quiet_equilibrium	REJECTED	constant_generator_requires_k_zero_at_equilibrium
Euler_period_is_fixed_on_supplied_oriented_sector	DERIVED_CONDITIONAL	G292_scope_retained
Euler_period_fixes_local_flux	REJECTED	P2_and_G292_metric_families_separate_local_flux
time_live_P2_connection_requires_mixed_term	DERIVED_CONDITIONAL	abstract_connection_family_only
arbitrary_P2_amplitude_is_metric_realized	NOT_DERIVED	G292_supplies_one_separate_metric_realization_family
strict_G259_class_has_Einstein_vacuum_zero_set	INHERITED_CONDITIONAL	class_assumptions_not_UDT_derived
all_local_metric_two_jet_laws_collapse_to_GR	REJECTED	R_equals_zero_scalar_residual_is_outside_G259_class
non_GR_completion_leaves_at_least_one_G259_hypothesis	DERIVED_CONDITIONAL	architecture_constraint_not_mechanism_selection
architecture_lattice_is_exhaustive	NOT_CLAIMED	organizing_lattice_only
physical_history_law	OPEN	no_generator_operator_source_or_global_predicate_selected
observational_calibration	DEFERRED	only_after_finite_identifiable_candidate_family
Xmax	OPEN	no_input_scale_boundary_or_profile_selected
