source	sha256	bytes
founding.md	4d0bd9708ad57598418d13961e41306badfc15e2446e7911074a64758bed6af2	40455
CURRENT_SCIENTIFIC_PREMISES.tsv	2c2b8eb6cbb556cf3f32c9adabaace121e9ebd56a0f390cb261d91cb8efb809f	553736
udt_g257_gr_quiet_limit_embedding_audit_2026-08-25/EXACT_DERIVATION.md	3ed630c000de2849bd3e17f18650f692540a23cd656deab88611f3fa7b047457	4577
udt_g259_metric_only_parent_operator_fork_classification_2026-08-25/AUDIT_REPORT.md	34b122ada58931f422261f4c2d0cd941cc1f04c3afa77e25e93dad0eef61c8e6	3954
udt_g259_metric_only_parent_operator_fork_classification_2026-08-25/LOVELOCK_NAVARRO_SCOPE.md	5de3467a6b5d3098975157f1363976f9530b6a3a9628650ce0bd463d90a17511	4181
udt_g261_universal_metric_coupling_parent_operator_ownership_2026-08-25/AUDIT_REPORT.md	25448d5586d268cfec20b403ff77b6d344903b5d9974fb3376900cba0578c125	2336
udt_g279_native_kernel_observational_interface_provenance_audit_2026-08-27/AUDIT_REPORT.md	2c284cffa091b97f49c638fb729224084c29ac2b7509bcd640de2ca7b226e1ab	4498
udt_g286_complete_germ_propagation_discriminator_2026-08-28/AUDIT_REPORT.md	58e994cca476085c0e5c878d1932a3e94f7b0190ca21456331d803c4bc23a8fe	3619
udt_g292_orientable_screen_differential_character_descent_2026-08-28/EXACT_DERIVATION.md	5110467642cb103339d8ba378a6e06942ba37ceb9736c02fe62cf1769eb9f7e0	9106
https://arxiv.org/abs/1306.4354	EXTERNAL_REFERENCE	NA
https://arxiv.org/abs/1005.2386	EXTERNAL_REFERENCE	NA
