item	status	role_in_g293	forbidden_promotion
F1_cE_identity	OBSERVED_PLUS_FOUNDATIONAL_INTERPRETATION	clock_ruler_calibration_only	physical_distance_scale_or_history_law
G01_G02_reciprocal_character	DERIVED_ON_SUPPLIED_ORDERED_DEPTH	additive_depth_group_and_exponential_character	observer_event_path_to_depth_assignment
F3_composition_reversal	POSIT_WITH_DERIVED_REPRESENTATION	group_composition_on_supplied_depth	physical_evolution_or_path_population
F4_primary_metric_readout	DECLARED_READOUT	bounded_primary_metric_control	profile_equation_or_parent_dynamics
W1_completed_pair_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	complete_pair_ordering_and_terminal_readout	canon_or_history_selection
W3_GR_quiet_reduction	WORKING_POSIT	required_quiet_solution_regime	Einstein_parent_law_derivation
W4_universal_metric_coupling	WORKING_POSIT	one_metric_for_all_channels	locality_second_order_or_field_equation
W5_projective_pair_position	WORKING_FOUNDATIONAL_CLARIFICATION	complete_projective_state_interpretation	physical_scale_distance_history_or_Xmax
G257_GR_embedding	DERIVED_CONDITIONAL_USING_IMPORTED_GR_COMPARISON	exact_primary_quiet_branch_and_active_angular_cancellation	UDT_parent_operator
G259_local_operator_class	CONDITIONAL_CLASSIFICATION	inherited_strict_local_branch control	founded_architecture_or_adopted_GR_dynamics
G261_W4_ownership	EXTERNALLY_ACCEPTED_BOUNDED	proves_W4_does_not_supply_parent_operator	new_mechanism
G279_native_kernel_provenance	EXTERNALLY_ACCEPTED_BOUNDED	protects_kernel_and_import boundary	observational_bridge_as_kernel
G286_future_twins	EXTERNALLY_ACCEPTED_BOUNDED	nonidentity_propagation separator	no_native_law_possible
G292_Euler_flux	EXTERNALLY_ACCEPTED_BOUNDED	fixed_orientable_sector_and_same_class_freedom	continuous_flux_propagation_or_history
additive_parameter_s	FREE_AND_EXPLORED	conditional_composition_parameter	physical_radius_time_affine_length_or_distance
continuous_homomorphism	MATHEMATICAL_METHOD	classifies_scalar_composition maps	physical_generator_ownership
translation_equivariant_generator	NEW_META_PREMISE_CONDITIONAL	equivalent_scalar_generator classification	founded_Markov_or_no_hidden_state_law
oriented_fixed_rank_screen	SUPPLIED_BOUNDED_STRATUM	Euler_period witness	universal_carrier_or_nonorientable_completion
P2_flux_amplitude_a_of_s	FREE_AND_EXPLORED	same_sector continuous_freedom witness	physical_screen_history
Lovelock_Navarro_theorem	EXTERNAL_MATHEMATICAL_METHOD	inherited_G259_classification only	UDT_field_equation
observations	OMITTED	future_finite_family discriminator	free_function_derivation_or_current_fit
source_action_matter_boundary	OMITTED	outside bounded question	hidden_completion
Xmax_operational_distance_scale	OPEN_AND_OMITTED	no role	input_boundary_or_fitted_selector
protected_packages	EXCLUDED	no access or citation	construction_input
