item	status	note
G349_preregistration	PASS	outcome-unseen commit 84cb5264 pushed before execution
production	PASS_REPAIRED	44321/44321; includes mixed screen-rank-one ordinary-rank-two null witness
independent_verification	PASS_LOCAL_REPAIRED	14321/14321 by implementation-distinct route including separate mixed witness
hostile_mutations	PASS_AFTER_RECORDED_REPAIRS	first 20/21 wording-hook failure; 21/21 after 134ecd4a; external-rank repair now 22/22
external_review	ACCEPT_AFTER_PREREGISTERED_R1_R4_REPAIRS	initial caveat retained; sealed repair-only reviewer independently reconstructed the witness and returned ACCEPT_G349_R1_R4_REPAIR_FOLLOWUP
aggregate_replay	PASS_REPAIRED	21/21; nested 44321/44321, 14321/14321, 22/22; byte-stable
repository_regression	PASS	221 passed, one registered xfail, zero failures
premise_audit	PASS	331 current rows and 754 historical dispositions
finite_patch_area_theorem	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	alternative A survives with positive area classified by transverse screen rank
union_vs_multiplicity	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	spacelike multiplicity-weighted sheet area differs from geometric union in overlaps
light_distance_population_scale_Xmax	OPEN_NOT_DERIVED	outside maximum conclusion
canon	OPEN	Charles alone canonizes
