catch_id	mutation	result	rejection_reason
C01	use_tanh_phi_as_WRL_position	PASS_REJECTED	WRL_position_is_one_minus_exp_minus_two_phi
C02	import_GR_field_equation_for_null_cone	PASS_REJECTED	null_cone_follows_directly_from_metric
C03	equate_coordinate_slope_with_local_speed	PASS_REJECTED	static_clock_and_ruler_factors_cancel_locally
C04	call_X_surface_curvature_singularity	PASS_REJECTED	finite_wall_invariants
C05	call_regular_chart_global_extension_selected	PASS_REJECTED	local_extendability_does_not_choose_global_ontology
C06	call_X_uncrossable_for_every_observer	PASS_REJECTED	explicit_null_and_timelike_crossing_witnesses
C07	call_local_frame_change_global_origin_recentring	PASS_REJECTED	different_mathematical_operations
C08	call_old_phi_shift_full_WRL_homothety	PASS_REJECTED	exact_angular_ratio_mismatch
C09	delete_angular_sector_from_global_frame_test	PASS_REJECTED	angular_sector_is_load_bearing_obstruction
C10	call_eta_field_selected_observer_motion	PASS_REJECTED	eta_is_free_frame_data
C11	call_deta_new_force_or_curvature	PASS_REJECTED	connection_change_is_pure_frame_and_d_squared_eta_zero
C12	call_local_metric_cone_material_signal_theorem	PASS_REJECTED	action_source_response_open
C13	call_round_areal_sphere_Hopf_carrier	PASS_REJECTED	no_section_transport_or_target_selected
C14	call_same_surface_same_coordinates	PASS_REJECTED	frame_invariance_does_not_fix_coordinate_labels
C15	call_static_unattainability_no_crossing	PASS_REJECTED	static_and_crossing_observers_are_distinct
C16	call_projective_prior_invalid_everywhere	PASS_REJECTED	prior_theorem_survives_in_its_declared_metric_family
C17	call_WRL_global_reciprocity_impossible	PASS_REJECTED	only_constant_depth_shift_with_fixed_angles_was_refuted
C18	call_Xmax_value_derived	PASS_REJECTED	no_global_scale_selection
C19	call_angular_obstruction_complete_angular_solution	PASS_REJECTED	obstruction_is_not_a_constructive_completion
C20	launch_Hopf_comparison_inside_this_audit	PASS_REJECTED	preregistered_stop_line
