claim_id	claim	status	scope
Q01	WRL_radial_null_slopes_dr_dt_plus_minus_c_E_A	DERIVED_CONDITIONAL_WRL	recorded_static_spherical_branch
Q02	local_orthonormal_null_speed_equals_c_E	DERIVED_CONDITIONAL_WRL	finite_A_positive_static_patch
Q03	tortoise_coordinate_equals_2X_phi	DERIVED_CONDITIONAL_WRL	A_equals_one_minus_r_over_X
Q04	static_optical_reach_to_X_is_infinite	DERIVED_CONDITIONAL_WRL	static_patch
Q05	r_equals_X_is_invariant_null_surface	DERIVED_CONDITIONAL_WRL	fixed_recorded_geometry
Q06	WRL_wall_is_curvature_singularity	REFUTED	finite_Ricci_and_Kretschmann
Q07	WRL_wall_has_regular_ingoing_chart	DERIVED_CONDITIONAL_WRL	local_metric_extension
Q08	null_and_timelike_crossing_curves_exist	DERIVED_METRIC_WITNESS	local_regular_extension
Q09	WRL_X_is_uncrossable_for_every_observer	NOT_DERIVED	global_boundary_or_quotient_open
Q10	local_radial_observer_frame_group_is_SO_plus_1_1	DERIVED_FROM_METRIC	connected_time_and_orientation_preserving_orthonormal_frames
Q11	arbitrary_smooth_local_rapidity_preserves_null_lines	DERIVED_FROM_METRIC	local_frame_field
Q12	variable_rapidity_adds_physical_curvature	REFUTED_AS_FRAME_EFFECT	d_squared_eta_zero_and_Cartan_covariance
Q13	metric_selects_observer_acceleration_history	OPEN	eta_is_free
Q14	older_projective_constant_depth_shift_is_full_WRL_symmetry	REFUTED_IN_FIXED_ANGLE_WRL_CLASS	angular_ratio_mismatch
Q15	all_observer_origins_have_equivalent_WRL_X_spheres	OPEN	complete_angular_frame_transformation_missing
Q16	common_Xmax_parameter_for_ordinary_frames	OWNER_WORKING_POSTULATE_NOT_GLOBALLY_REALIZED	local_surface_invariance_is_not_global_origin_reciprocity
Q17	coordinate_zero_light_speed_is_local_zero_light_speed	REFUTED	local_speed_remains_c_E
Q18	material_information_is_restricted_to_metric_cone	OPEN_POSIT	complete_dynamics_and_coupling
Q19	angular_sector_is_load_bearing_for_global_frame_reciprocity	DERIVED_BOUNDED_OBSTRUCTION	fixed_round_areal_WRL_slice
Q20	Hopf_carrier_or_section_follows	OPEN_NOT_TESTED	no_carrier_or_bundle_join_loaded
Q21	native_action_source_mass_boundary	OPEN_NOT_USED	outside_scope
Q22	audit_grade	VERIFIED_WITH_CAVEATS	exact_bounded_metric_algebra_and_independent_verification
