item	status	active_use	forbidden_promotion
founding_reciprocal_character	DERIVED_ON_SUPPLIED_ORDERED_DEPTH	clock_ruler_reciprocal_readout	observer_or_source_population_selector
completed_pair_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	applied_after_complete_pair_pullback	canon_or_bare_metric_derivation
G237_K12_state	OBSERVED_PROCESSED_CONDITIONAL	frozen_no_refit_relative_state_input	continuous_profile_metric_history_or_prediction
complete_metric_null_clock	DERIVED_CONDITIONAL	evaluator_on_supplied_history_and_branch	selected_physical_branch_or history
complete_metric_Jacobi_screen	DERIVED_CONDITIONAL	evaluator_on_supplied_history_and_affine_null_branch	populated_sky_or_source law
same_history_tilted_response	DERIVED_CONDITIONAL	proof_angular_response_can_emerge_without_appended_coefficient	physical_value_from_G237
BOSS_catalogue_fields	OBSERVED	observer_coordinate_data	physical source distribution theorem
BOSS_random_reference	OBSERVED_AND_CHOSE	survey footprint and selection reference	physical source or metric history
Landy_Szalay	CHOSE_BORROWED_METHOD	angular two-point estimator	UDT law or source mechanism
source_pair_measure	OPEN	none	silently_homogeneous_Poisson_or_normally_distributed
branch_population	OPEN	none	uniform or fitted weights
continuous_complete_history	OPEN	none	interpolated from eleven state numbers
X_max	WORKING_FOUNDATIONAL_FRAME_INACTIVE	none	bridge scale or fit input
P1_and_scaffolded_kernel	HISTORICAL_INACTIVE	none	reintroduced profile or carry law
