source_id	sha256	path	role
S01	d020db4d75ad1f9b4ca5b63f854d9b390d2448d9993908015a42750072369b5a	AGENTS.md	binding method and UDT premise rules
S02	502193a72989010c5d222abbd43943e3f4c529a189e6b3d3b95ebd1a761446e6	CURRENT_RESEARCH_PROGRAM.md	current dependency spine and next gate
S03	695722d1d50801935ccb8a1479e73aadd03e01f86410c51df28fa0313e013070	CURRENT_SCIENTIFIC_PREMISES.tsv	exact current premise registry
S04	88d3006a646f2be105a3fb15f2c4c694732b884da97f8fdeefc39323e6bbc8cf	udt_g237_dual_sne_joint_relational_state_freeze_2026-08-23/FROZEN_PRIMARY_K12_STATE.json	frozen no-refit state
S05	791a438c54f3269de6626f382f11e35892e3a4c5060701aea5e379323040082d	udt_g237_dual_sne_joint_relational_state_freeze_2026-08-23/EXACT_DERIVATION.md	state semantics and ceiling
S06	ae4ffb3c85ed7607ed8b3f22da961956d1c632ec72ab41452a1d7640ae2dba05	udt_g126_angular_lane_same_query_bridge_2026-08-16/AUDIT_REPORT.md	prior exact angular bridge boundary
S07	0bb858a6cd164ef7bd03768af6bc820d706c6417d0b98127f8dd0ca69fd50afb	udt_g127_same_history_radial_displaced_screen_emergence_2026-08-16/AUDIT_REPORT.md	local same-history tilted response
S08	68900a198fe938784c9240b044bd41834dcded2122c4414a453696997f7d2b8d	udt_g128_finite_path_timelive_radial_tilted_screen_2026-08-16/AUDIT_REPORT.md	finite-path same-history control
S09	89040e228f68d3e6cd3b3c8dad33c9feadd41cff244451f1c582edac5606b381	udt_g188_complete_coframe_null_jacobi_extension_2026-08-20/AUDIT_REPORT.md	general supplied-history screen evaluator
S10	f2bec21b49fd90460b319fa694a94f10d6ac23caebc8b553cc955956430f8c98	udt_g221_complete_coframe_null_clock_chord_2026-08-22/AUDIT_REPORT.md	complete-coframe null clock chord
S11	1b57ff55688a8e5f1b17827a56c1a66df90e356a6f9d1352099d8fa09fbafc97	udt_g226_null_chain_conformal_symplectic_assembly_2026-08-22/AUDIT_REPORT.md	conditional clock-screen phase interlock
S12	bc225f380088568c445e6e637a35fbc5fdb0e511d08e989abd7fe4c964e2c29d	udt_observed_angular_pattern_raw_restart_2026-08-12/PREREGISTRATION.md	outcome-blind BOSS observable contract
S13	cff794abd0d4a77d79b24a277a0c5cd2776223d91199b81b5e838cb952925276	udt_observed_angular_pattern_raw_restart_2026-08-12/R4_PREREGISTRATION.md	complete relation vocabulary
S14	fcb8bc31ebdb7e99cbca4da5b458ef6e3dc1720c923641d267e0dbb57130136e	udt_observed_angular_pattern_raw_restart_2026-08-12/R5_PREREGISTRATION.md	full-spectrum descriptor vocabulary
S15	317c56b531dc2f97167c929f69eb4d8a2f424adea8a83282e75166553e65588a	udt_boss_primary_method_crosswalk_2026-08-13/METHOD_CROSSWALK.tsv	primary-source operator semantics
