stage	input	output	owner	status	missing_or_qualification
Q01	processed_SNe_releases	G237_K12_relative_state	G237	OBSERVED_PROCESSED_CONDITIONAL	zero_unknown_cross_release_covariance_chosen
Q02	G237_K12_relative_state	continuous_R_of_phi	NONE	OPEN	no_interpolation_law_and_finite_state_counterfamily
Q03	continuous_relative_R_of_phi	absolute_areal_scale	NONE	OPEN	relative_normalization_does_not_supply_length_scale
Q04	continuous_R_of_phi	complete_metric_history	NONE	OPEN	radial_endpoint_state_does_not_value_common_scale_shift_screen_or_mixing
Q05	complete_metric_plus_supplied_null_branch	endpoint_clock_chord	G221	DERIVED_CONDITIONAL	branch_and_history_must_be_supplied
Q06	complete_metric_plus_supplied_affine_null_branch	finite_screen_Jacobi_map	G188	DERIVED_CONDITIONAL	branch_history_and_vertex_normalization_must_be_supplied
Q07	composable_supplied_null_edges_and_shared_event	clock_screen_phase_chain	G226	DERIVED_CONDITIONAL	does_not_select_edges_transport_population_or_history
Q08	one_supplied_spherical_history_plus_tilted_query	metric_native_angular_response	G127_G128	DERIVED_CONDITIONAL_AND_OBSERVED_ON_WITNESSES	response_not_valued_by_G237
Q09	observer_source_maps	two_source_physical_pair_relation	NONE	OPEN	incidence_branch_matching_and_joint_measure_not_implied_by_product_maps
Q10	source_events	one_and_two_point_source_measures	NONE	OPEN	no_source_or_point_process_law
Q11	multivalued_observation_map	populated_branch_weights	NONE	OPEN	no_branch_population_or_aggregation law
Q12	physical_observed_pair_measure_plus_reference	angular_Landy_Szalay_curve	BOSS_R0_METHOD	CHOSE_BORROWED_OBSERVATIONAL_ESTIMATOR	requires_upstream_physical_measures
Q13	catalog_footprint_and_selection	BOSS_random_reference	BOSS_RELEASE_AND_R0	OBSERVED_AND_CHOSE	owns_survey_reference_not_physical_source_measure
Q14	central_spherical_radial_multiplier	ideal_reference_projected_angular_pattern	G126	DERIVED_CONDITIONAL_ZERO	pure_radial_multiplier_is_not_a_nontrivial_angular_bridge
Q15	G237_frozen_state	BOSS_R2_R5_observable	NONE	QUERY_TYPING_INCOMPLETE	outcomes_remain_closed_and_no_refit_is_permitted
